ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,-,0.00447,0.00614,0.00868,-,0.00214,0.00308,0.00466,-,0.00289,0.0041,0.00603
RW,-,0.11538,0.12878,0.13405,-,0.09977,0.11255,0.12714,-,0.1069,0.11999,0.12976
R1,-,0.32901,0.40054,0.46243,-,0.16784,0.20392,0.25217,-,0.22214,0.27011,0.32448
R2,-,0.04484,0.06351,0.08681,-,0.02247,0.03224,0.04708,-,0.02992,0.04274,0.06072
R3,-,0.01262,0.01595,0.02227,-,0.00621,0.00803,0.01202,-,0.00832,0.01067,0.01553
RL,-,0.28842,0.36689,0.43425,-,0.14706,0.18678,0.23698,-,0.19467,0.24741,0.30483
RSU,-,0.1064,0.15433,0.21021,-,0.0281,0.04046,0.06323,-,0.04437,0.06397,0.09529
RS,-,0.0978,0.14959,0.20778,-,0.02537,0.03886,0.06221,-,0.04022,0.06157,0.09386


2
R4,-,0.01606,0.02259,0.03051,-,0.00787,0.01149,0.02217,-,0.01055,0.01522,0.02527
RW,-,0.13028,0.14511,0.13686,-,0.11179,0.12679,0.17127,-,0.12025,0.13519,0.15005
R1,-,0.36532,0.44729,0.4712,-,0.18516,0.22791,0.33893,-,0.24564,0.30181,0.38883
R2,-,0.07569,0.10072,0.12477,-,0.0379,0.05118,0.08897,-,0.05048,0.06783,0.10239
R3,-,0.02938,0.03908,0.05152,-,0.01458,0.01985,0.037,-,0.01948,0.02631,0.04243
RL,-,0.31463,0.40769,0.43364,-,0.15952,0.20759,0.31197,-,0.2116,0.27497,0.35787
RSU,-,0.13351,0.19192,0.21431,-,0.03473,0.05053,0.11064,-,0.05504,0.07982,0.13877
RS,-,0.12448,0.18702,0.21183,-,0.0318,0.0488,0.10899,-,0.05058,0.07723,0.13681


L
R4,-,0.00821,0.02028,0.03181,-,0.00412,0.01025,0.01622,-,0.00548,0.01361,0.02148
RW,-,0.12832,0.14101,0.15619,-,0.11307,0.12506,0.13939,-,0.12007,0.13243,0.14727
R1,-,0.35573,0.4351,0.5323,-,0.18533,0.22506,0.2733,-,0.24353,0.29652,0.36111
R2,-,0.06173,0.09423,0.14115,-,0.03152,0.04856,0.07232,-,0.04171,0.06406,0.09563
R3,-,0.01897,0.03413,0.0551,-,0.00962,0.01743,0.02817,-,0.01275,0.02307,0.03727
RL,-,0.31348,0.39511,0.49504,-,0.16326,0.20426,0.25418,-,0.21455,0.26917,0.33585
RSU,-,0.12246,0.18472,0.27072,-,0.03367,0.05011,0.07168,-,0.05271,0.07866,0.11331
RS,-,0.11338,0.17991,0.2682,-,0.03063,0.04838,0.07069,-,0.04813,0.07609,0.11185


M
R4,-,0.00357,0.00793,0.02469,-,0.00174,0.00424,0.01339,-,0.00234,0.00552,0.01736
RW,-,0.11829,0.13198,0.15008,-,0.1033,0.11988,0.14158,-,0.11018,0.12537,0.14563
R1,-,0.33256,0.40923,0.51207,-,0.17192,0.21691,0.27819,-,0.2265,0.28317,0.36043
R2,-,0.04957,0.07102,0.12583,-,0.02536,0.0379,0.06838,-,0.03353,0.04936,0.08859
R3,-,0.01294,0.01976,0.04416,-,0.00651,0.01067,0.02401,-,0.00866,0.01383,0.0311
RL,-,0.28991,0.37295,0.47364,-,0.1498,0.19758,0.25731,-,0.19739,0.25798,0.33337
RSU,-,0.10854,0.16338,0.25152,-,0.02945,0.04666,0.07461,-,0.04623,0.07227,0.11499
RS,-,0.09985,0.15865,0.249,-,0.02663,0.04493,0.07355,-,0.04194,0.06971,0.11346


N
R4,-,0.01244,0.01693,0.03371,-,0.00569,0.00777,0.01565,-,0.0078,0.01065,0.02137
RW,-,0.13351,0.1452,0.15826,-,0.10503,0.11624,0.1283,-,0.11746,0.12897,0.14166
R1,-,0.3735,0.44745,0.54068,-,0.17362,0.20875,0.25216,-,0.23691,0.28453,0.34389
R2,-,0.07046,0.09973,0.14405,-,0.03247,0.04634,0.06707,-,0.04443,0.06323,0.09151
R3,-,0.02469,0.03396,0.05819,-,0.01133,0.01569,0.02705,-,0.01552,0.02145,0.03693
RL,-,0.3242,0.40782,0.50114,-,0.15075,0.19015,0.23372,-,0.20568,0.25923,0.31874
RSU,-,0.13533,0.18807,0.27836,-,0.02972,0.04158,0.06087,-,0.04867,0.06795,0.09986
RS,-,0.12607,0.18307,0.27583,-,0.02716,0.04009,0.06001,-,0.04462,0.06563,0.09854


O
R4,-,0.00484,0.01063,0.02232,-,0.0023,0.00525,0.01157,-,0.00311,0.00703,0.01519
RW,-,0.12294,0.13333,0.1443,-,0.10524,0.11979,0.13781,-,0.11333,0.12546,0.13825
R1,-,0.3384,0.41664,0.4961,-,0.17086,0.21799,0.27224,-,0.22694,0.28482,0.34421
R2,-,0.0577,0.08063,0.11599,-,0.0286,0.04178,0.06295,-,0.03822,0.05479,0.08012
R3,-,0.01678,0.02417,0.04114,-,0.00817,0.01213,0.02182,-,0.01098,0.01613,0.02819
RL,-,0.30176,0.37881,0.46102,-,0.15251,0.19829,0.25279,-,0.2025,0.25903,0.31973
RSU,-,0.11287,0.16897,0.24246,-,0.02909,0.04673,0.07311,-,0.04619,0.07194,0.10424
RS,-,0.10415,0.16421,0.24001,-,0.02635,0.04498,0.07194,-,0.04199,0.06939,0.10275


P
R4,-,0.00884,0.01593,0.03274,-,0.00446,0.00808,0.01632,-,0.00593,0.01071,0.02178
RW,-,0.12944,0.14322,0.15919,-,0.11113,0.12382,0.13882,-,0.1195,0.13267,0.14827
R1,-,0.36668,0.44573,0.54308,-,0.18585,0.22475,0.27252,-,0.24655,0.29867,0.36288
R2,-,0.06913,0.09196,0.14607,-,0.03475,0.04643,0.07314,-,0.04623,0.06166,0.09746
R3,-,0.02195,0.02996,0.05802,-,0.01104,0.01517,0.02899,-,0.01468,0.02013,0.03866
RL,-,0.3183,0.40235,0.50364,-,0.16133,0.20277,0.25278,-,0.21402,0.26952,0.33657
RSU,-,0.13489,0.18946,0.28454,-,0.03523,0.04898,0.07205,-,0.05579,0.07765,0.11494
RS,-,0.1259,0.18453,0.28204,-,0.03231,0.04728,0.07108,-,0.05134,0.0751,0.11351


R
R4,-,0.0112,0.01636,0.0182,-,0.00631,0.00887,0.016,-,0.00802,0.01146,0.0168
RW,-,0.128,0.13655,0.11694,-,0.11967,0.13394,0.18421,-,0.12291,0.13401,0.13973
R1,-,0.35529,0.42169,0.39771,-,0.1962,0.24113,0.35979,-,0.25135,0.30424,0.36844
R2,-,0.06584,0.09001,0.0946,-,0.03613,0.05073,0.08527,-,0.04637,0.06436,0.08762
R3,-,0.02341,0.03039,0.03342,-,0.01294,0.01666,0.02957,-,0.01657,0.02142,0.03081
RL,-,0.31125,0.3846,0.37071,-,0.17213,0.22,0.33508,-,0.22038,0.27755,0.3433
RSU,-,0.12522,0.1768,0.1587,-,0.03877,0.05807,0.12609,-,0.05803,0.08461,0.12841
RS,-,0.11629,0.17209,0.15639,-,0.03536,0.05601,0.12386,-,0.05315,0.08176,0.12625


S
R4,-,0.00803,0.02431,0.03317,-,0.00447,0.01251,0.01692,-,0.00573,0.01651,0.02241
RW,-,0.11676,0.14265,0.15626,-,0.11677,0.12871,0.13844,-,0.11612,0.13507,0.14677
R1,-,0.32739,0.44437,0.53562,-,0.19316,0.23414,0.27294,-,0.24175,0.3063,0.36156
R2,-,0.05803,0.10113,0.13906,-,0.03377,0.05305,0.07086,-,0.04247,0.06951,0.09387
R3,-,0.02057,0.04029,0.05582,-,0.0118,0.02088,0.02848,-,0.01492,0.02749,0.03771
RL,-,0.28409,0.40133,0.49579,-,0.16785,0.21134,0.25273,-,0.20995,0.27653,0.33475
RSU,-,0.10562,0.18643,0.27107,-,0.03665,0.05251,0.07071,-,0.05354,0.08152,0.11211
RS,-,0.09702,0.18148,0.26851,-,0.03303,0.05068,0.06972,-,0.04849,0.07882,0.11065


T
R4,-,0.01808,0.01815,0.03095,-,0.01004,0.01008,0.0173,-,0.01288,0.01294,0.02219
RW,-,0.1363,0.14534,0.15538,-,0.12935,0.13852,0.1525,-,0.13252,0.14165,0.15373
