ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00265,0.00514,0.00927,0.0,0.00279,0.00528,0.00941,0.0,0.00271,0.00521,0.00934
RW,0.08667,0.08627,0.09974,0.11229,0.12881,0.1505,0.17061,0.18947,0.10076,0.10951,0.12578,0.14093
R1,0.1516,0.23714,0.30345,0.3739,0.14802,0.25202,0.31158,0.37931,0.14588,0.24402,0.30728,0.37649
R2,0.02596,0.03625,0.05339,0.07789,0.03029,0.03829,0.05475,0.07895,0.02715,0.0372,0.05404,0.0784
R3,0.0021,0.00817,0.01432,0.02196,0.0035,0.00863,0.01474,0.02227,0.0026,0.00838,0.01452,0.02211
RL,0.13619,0.19884,0.26717,0.34103,0.13361,0.2115,0.27408,0.34594,0.13132,0.20469,0.27043,0.34338
RSU,0.03716,0.05367,0.0848,0.13028,0.03852,0.06054,0.08926,0.13413,0.03479,0.05661,0.08678,0.13204
RS,0.0153,0.04642,0.0805,0.12789,0.01822,0.05244,0.08477,0.13168,0.01537,0.04899,0.08239,0.12963


19
R4,0.00358,0.00845,0.01284,0.02133,0.00356,0.00871,0.0133,0.02172,0.00356,0.00855,0.01306,0.0215
RW,0.13096,0.10886,0.1153,0.1275,0.22637,0.18249,0.19874,0.21587,0.15877,0.13561,0.14559,0.16006
R1,0.23397,0.2845,0.34348,0.41417,0.26184,0.29208,0.35507,0.42153,0.23603,0.28693,0.34848,0.41728
R2,0.07843,0.06374,0.07938,0.10904,0.1005,0.06577,0.0822,0.11077,0.0813,0.06445,0.08062,0.10976
R3,0.01979,0.02165,0.02693,0.04123,0.02075,0.02247,0.02784,0.04191,0.0193,0.02197,0.02735,0.04152
RL,0.20757,0.24739,0.31114,0.38587,0.23458,0.25312,0.32142,0.39268,0.20982,0.24912,0.31558,0.38874
RSU,0.07393,0.07633,0.11048,0.15902,0.11084,0.08097,0.11776,0.16461,0.07372,0.0773,0.11318,0.16097
RS,0.04334,0.06811,0.10589,0.15651,0.06616,0.07226,0.1129,0.16202,0.0429,0.06897,0.10849,0.15843


2
R4,-,0.00789,0.00802,0.00905,-,0.00887,0.00821,0.00943,-,0.00828,0.00811,0.00923
RW,-,0.08644,0.09686,0.10472,-,0.1543,0.16493,0.18023,-,0.11002,0.12188,0.13227
R1,-,0.21904,0.28337,0.33934,-,0.23905,0.28982,0.35063,-,0.227,0.28623,0.34441
R2,-,0.04064,0.05253,0.06521,-,0.04562,0.0537,0.06771,-,0.04263,0.05304,0.06634
R3,-,0.01421,0.01583,0.01955,-,0.01622,0.01617,0.02032,-,0.01501,0.01598,0.01991
RL,-,0.1929,0.26,0.3211,-,0.20994,0.26584,0.3318,-,0.19967,0.26259,0.32591
RSU,-,0.04725,0.07724,0.10997,-,0.05612,0.08057,0.1177,-,0.04996,0.07853,0.11309
RS,-,0.04051,0.07321,0.10772,-,0.04808,0.07637,0.11534,-,0.04279,0.07443,0.11079


20
