ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00406,0.00647,-,0.0,0.00435,0.00671,-,0.0,0.0042,0.00659,-
RW,0.07301,0.08627,0.09934,-,0.11323,0.15433,0.17124,-,0.08667,0.11053,0.12564,-
R1,0.12638,0.24191,0.29713,-,0.12835,0.25941,0.30791,-,0.12441,0.25004,0.30226,-
R2,0.01858,0.03958,0.0552,-,0.02063,0.04213,0.05712,-,0.01921,0.04078,0.05612,-
R3,0.00196,0.01134,0.01582,-,0.00246,0.01209,0.0164,-,0.00215,0.01169,0.0161,-
RL,0.11521,0.1999,0.26384,-,0.11531,0.21465,0.27327,-,0.11253,0.20673,0.26832,-
RSU,0.02945,0.05494,0.0814,-,0.03268,0.06281,0.08732,-,0.02868,0.05834,0.08408,-
RS,0.01066,0.04765,0.0772,-,0.01265,0.05455,0.08286,-,0.01089,0.05063,0.07976,-


19
R4,0.00693,0.01163,0.01773,-,0.00664,0.01247,0.01865,-,0.00664,0.01199,0.01814,-
RW,0.12327,0.10986,0.11611,-,0.22361,0.1904,0.2016,-,0.15304,0.13866,0.14705,-
R1,0.23192,0.2937,0.34023,-,0.26615,0.30692,0.35468,-,0.23879,0.29878,0.34662,-
R2,0.06782,0.07315,0.08437,-,0.08359,0.07765,0.08787,-,0.07102,0.07493,0.08593,-
R3,0.01412,0.02549,0.03169,-,0.01384,0.02706,0.03319,-,0.01372,0.02614,0.03236,-
RL,0.2038,0.25795,0.30973,-,0.23607,0.26861,0.32292,-,0.2101,0.26205,0.31557,-
RSU,0.07558,0.07933,0.10784,-,0.10998,0.0872,0.11685,-,0.07715,0.08161,0.11136,-
RS,0.04676,0.071,0.10332,-,0.06149,0.07812,0.112,-,0.04715,0.07304,0.10671,-


2
R4,-,0.00633,0.00926,-,-,0.00711,0.00949,-,-,0.00665,0.00936,-
RW,-,0.08348,0.09703,-,-,0.15296,0.16673,-,-,0.10729,0.1225,-
R1,-,0.21732,0.28069,-,-,0.23981,0.28955,-,-,0.22648,0.28477,-
R2,-,0.03674,0.05317,-,-,0.04074,0.0547,-,-,0.03838,0.05386,-
R3,-,0.01136,0.01747,-,-,0.01292,0.01792,-,-,0.012,0.01767,-
RL,-,0.18909,0.25996,-,-,0.20827,0.26818,-,-,0.19692,0.26374,-
RSU,-,0.04742,0.07595,-,-,0.05712,0.08051,-,-,0.05058,0.07786,-
RS,-,0.04084,0.07196,-,-,0.04906,0.07629,-,-,0.04349,0.07377,-


20
R4,0.00808,0.00284,0.00866,-,0.02055,0.00424,0.00934,-,0.01096,0.00332,0.00896,-
RW,0.09313,0.08281,0.10119,-,0.29418,0.17783,0.1832,-,0.1382,0.11156,0.13006,-
R1,0.17076,0.21871,0.29781,-,0.34477,0.27978,0.32354,-,0.22192,0.24207,0.30944,-
R2,0.04134,0.03799,0.05829,-,0.08978,0.04891,0.06341,-,0.05498,0.04206,0.06059,-
R3,0.01341,0.01047,0.01876,-,0.02678,0.01365,0.02041,-,0.01732,0.01165,0.0195,-
