Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.02112,0.01104,0.00869,0.00631
100,0.01269,0.01049,0.01056,0.00921
200,0.00967,0.01419,0.01603,0.0193
400,0.00543,0.01332,0.02434,0.03343

RW,050,100,200,400
050,0.1497,0.1145,0.07821,0.0466
100,0.14718,0.14479,0.11532,0.07435
200,0.13139,0.15291,0.15338,0.12179
400,0.0919,0.13285,0.16849,0.1727

R1,050,100,200,400
050,0.33405,0.28744,0.22124,0.14288
100,0.30846,0.34561,0.33753,0.24735
200,0.23775,0.32444,0.41497,0.39023
400,0.15868,0.26264,0.40906,0.50352

R2,050,100,200,400
050,0.08027,0.05933,0.05055,0.03507
100,0.06122,0.06764,0.07414,0.06373
200,0.05599,0.08031,0.09739,0.10097
400,0.04133,0.07804,0.12642,0.15362

R3,050,100,200,400
050,0.03629,0.02189,0.01911,0.01333
100,0.02852,0.02236,0.02428,0.02142
200,0.01999,0.02893,0.03381,0.0363
400,0.01303,0.0287,0.04899,0.06113

RL,050,100,200,400
050,0.29322,0.26157,0.20744,0.13613
100,0.27504,0.31668,0.3074,0.22979
200,0.2192,0.30832,0.39151,0.37014
400,0.14505,0.248,0.38471,0.48071

RSU,050,100,200,400
050,0.10665,0.06999,0.03488,0.01239
100,0.08293,0.11235,0.09685,0.04369
200,0.03953,0.0919,0.16214,0.13096
400,0.01505,0.04943,0.14747,0.24433

RS,050,100,200,400
050,0.09786,0.06498,0.03277,0.0117
100,0.07782,0.10792,0.09408,0.04253
200,0.0373,0.0892,0.15969,0.12944
400,0.01428,0.0482,0.14592,0.24305

