Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00235,0.003,0.00525,0.00421
100,0.00152,0.00335,0.00507,0.00666
200,0.00182,0.00961,0.00956,0.00882
400,0.00391,0.00812,0.01579,0.01664

RW,050,100,200,400
050,0.13444,0.11567,0.07741,0.04659
100,0.13135,0.14336,0.11804,0.07479
200,0.11195,0.15305,0.15935,0.12231
400,0.08246,0.12616,0.16054,0.16497

R1,050,100,200,400
050,0.28914,0.28479,0.22154,0.14321
100,0.26338,0.34727,0.33296,0.24366
200,0.20358,0.33725,0.42634,0.38994
400,0.13854,0.25088,0.39155,0.48578

R2,050,100,200,400
050,0.05654,0.06627,0.05633,0.03855
100,0.04935,0.07124,0.08096,0.06411
200,0.04847,0.08413,0.10359,0.0975
400,0.0416,0.07223,0.11023,0.13437

R3,050,100,200,400
050,0.01021,0.0148,0.01605,0.0116
100,0.01118,0.01714,0.0221,0.01727
200,0.01113,0.02524,0.03103,0.02683
400,0.01195,0.0225,0.03661,0.04136

RL,050,100,200,400
050,0.25752,0.264,0.20786,0.13665
100,0.23663,0.32123,0.31579,0.23161
200,0.18966,0.3144,0.40716,0.37173
400,0.12955,0.23491,0.37075,0.46896

RSU,050,100,200,400
050,0.08238,0.07299,0.03503,0.01267
100,0.06127,0.11806,0.09578,0.04196
200,0.03081,0.10024,0.17706,0.13365
400,0.01182,0.0446,0.13332,0.2258

RS,050,100,200,400
050,0.07424,0.06817,0.03296,0.01197
100,0.05648,0.11359,0.09306,0.0408
200,0.02882,0.09744,0.17465,0.13213
400,0.01113,0.04341,0.1318,0.22453

