Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00449,0.0045,0.02247,0.01122
100,0.00334,0.00721,0.02492,0.0347
200,0.00658,0.00627,0.01741,0.03877
400,0.00371,0.00468,0.01251,0.0288

RW,050,100,200,400
050,0.18145,0.26405,0.31085,0.36622
100,0.12376,0.19537,0.26976,0.31707
200,0.08487,0.14096,0.22108,0.29076
400,0.05166,0.09051,0.15358,0.23582

R1,050,100,200,400
050,0.29437,0.45061,0.56904,0.70072
100,0.20091,0.34136,0.50026,0.65183
200,0.13598,0.25675,0.43808,0.61585
400,0.08046,0.15895,0.29894,0.50807

R2,050,100,200,400
050,0.05387,0.09415,0.1361,0.18538
100,0.04276,0.07361,0.13407,0.20411
200,0.03187,0.05577,0.10689,0.19734
400,0.02141,0.04269,0.07745,0.15188

R3,050,100,200,400
050,0.01984,0.02529,0.05061,0.04916
100,0.01316,0.02081,0.05088,0.07741
200,0.01278,0.01598,0.03762,0.07962
400,0.00767,0.01177,0.02614,0.05839

RL,050,100,200,400
050,0.25628,0.40048,0.5254,0.65573
100,0.17891,0.31413,0.46922,0.61188
200,0.12474,0.23561,0.40334,0.58217
400,0.07435,0.14781,0.2806,0.48346

RSU,050,100,200,400
050,0.09089,0.20325,0.31792,0.46502
100,0.04355,0.1178,0.24503,0.40725
200,0.019,0.06314,0.1822,0.36466
400,0.00656,0.02409,0.08574,0.24547

RS,050,100,200,400
050,0.08308,0.19367,0.30823,0.45602
100,0.04054,0.11349,0.24009,0.40254
200,0.01788,0.06129,0.17974,0.36222
400,0.0062,0.02344,0.0847,0.24418

