Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00107,0.00143,0.00088,0.00148
100,0.00075,0.00271,0.00537,0.00502
200,0.01,0.01256,0.01339,0.01248
400,0.0072,0.0113,0.01549,0.01674

RW,050,100,200,400
050,0.11702,0.09808,0.07534,0.04524
100,0.12919,0.13057,0.11466,0.07583
200,0.11472,0.13852,0.1533,0.11523
400,0.08435,0.11999,0.15491,0.1546

R1,050,100,200,400
050,0.25889,0.23904,0.20639,0.13935
100,0.25651,0.31093,0.31033,0.24297
200,0.2069,0.31011,0.39094,0.35978
400,0.13682,0.24523,0.37339,0.45088

R2,050,100,200,400
050,0.03839,0.0386,0.04234,0.02844
100,0.04198,0.05527,0.06863,0.05909
200,0.0447,0.07059,0.09492,0.09031
400,0.03444,0.06173,0.09438,0.1115

R3,050,100,200,400
050,0.00632,0.0105,0.00815,0.00535
100,0.00718,0.01222,0.01875,0.01558
200,0.01718,0.02644,0.03322,0.02987
400,0.01311,0.02121,0.03367,0.03676

RL,050,100,200,400
050,0.22676,0.21813,0.19368,0.12998
100,0.23301,0.28664,0.29807,0.23001
200,0.19025,0.28474,0.37251,0.33993
400,0.13028,0.22955,0.35372,0.43036

RSU,050,100,200,400
050,0.07148,0.05487,0.03327,0.01285
100,0.0614,0.09555,0.08807,0.04402
200,0.03319,0.09114,0.1536,0.12151
400,0.01218,0.04916,0.12144,0.20138

RS,050,100,200,400
050,0.06439,0.05083,0.0313,0.01217
100,0.05705,0.09174,0.08553,0.04288
200,0.03128,0.08875,0.15134,0.12011
400,0.01153,0.04809,0.12001,0.20018

