Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00109,0.00109,0.00055,0.00083
100,0.00118,0.00247,0.00404,0.00316
200,0.02629,0.01748,0.01347,0.00946
400,0.03377,0.02602,0.02349,0.01698

RW,050,100,200,400
050,0.09405,0.06414,0.04355,0.0244
100,0.14231,0.10419,0.07496,0.04379
200,0.19374,0.14979,0.12302,0.07519
400,0.24019,0.19602,0.17009,0.12394

R1,050,100,200,400
050,0.26339,0.18139,0.13075,0.07913
100,0.39242,0.311,0.23636,0.1539
200,0.52514,0.45771,0.39684,0.27435
400,0.61932,0.59009,0.56724,0.45952

R2,050,100,200,400
050,0.03912,0.02876,0.02682,0.01614
100,0.06477,0.05394,0.0522,0.03738
200,0.11477,0.10145,0.09617,0.0688
400,0.157,0.14722,0.14348,0.11354

R3,050,100,200,400
050,0.00654,0.00788,0.00514,0.00302
100,0.01105,0.01145,0.01422,0.00983
200,0.04444,0.03715,0.0336,0.02274
400,0.06039,0.0495,0.0512,0.03737

RL,050,100,200,400
050,0.2309,0.16544,0.12273,0.07384
100,0.35649,0.2862,0.227,0.14568
200,0.48313,0.41993,0.37815,0.25923
400,0.5894,0.55246,0.5374,0.43866

RSU,050,100,200,400
050,0.07392,0.03526,0.01788,0.00655
100,0.158,0.09651,0.05609,0.02358
200,0.28591,0.21184,0.15775,0.07747
400,0.38874,0.33921,0.31028,0.20858

RS,050,100,200,400
050,0.06661,0.03253,0.0168,0.0062
100,0.1489,0.09257,0.05437,0.02295
200,0.27653,0.20732,0.15544,0.0765
400,0.37976,0.33459,0.3078,0.20735

