Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00118,0.00167,0.0019,0.00082
100,0.0,0.00506,0.00518,0.00247
200,0.0057,0.00956,0.01137,0.01005
400,0.01488,0.01515,0.01758,0.01636

RW,050,100,200,400
050,0.10487,0.07224,0.04321,0.02359
100,0.14326,0.11318,0.07624,0.04246
200,0.20307,0.16793,0.13116,0.0799
400,0.24608,0.21852,0.1825,0.13317

R1,050,100,200,400
050,0.28129,0.20623,0.12945,0.07614
100,0.39551,0.34129,0.24936,0.15347
200,0.53662,0.50727,0.43913,0.29854
400,0.65575,0.64168,0.60144,0.49904

R2,050,100,200,400
050,0.03388,0.02849,0.02214,0.01487
100,0.05158,0.05628,0.05019,0.03535
200,0.09944,0.09996,0.09197,0.07268
400,0.13698,0.15468,0.1569,0.13293

R3,050,100,200,400
050,0.00459,0.0061,0.00433,0.00232
100,0.0057,0.01383,0.01247,0.00835
200,0.0168,0.02389,0.02627,0.0214
400,0.03996,0.04086,0.04316,0.04028

RL,050,100,200,400
050,0.25778,0.19235,0.12332,0.07218
100,0.35679,0.31541,0.23829,0.14652
200,0.50027,0.47077,0.41818,0.28576
400,0.6091,0.60412,0.5776,0.47795

RSU,050,100,200,400
050,0.07579,0.04014,0.0161,0.00576
100,0.14918,0.10732,0.05928,0.02252
200,0.27035,0.24203,0.17983,0.08442
400,0.40467,0.38909,0.34266,0.23436

RS,050,100,200,400
050,0.06779,0.03697,0.01502,0.00541
100,0.1395,0.10278,0.05745,0.02189
200,0.26003,0.23689,0.17733,0.08337
400,0.39478,0.38416,0.34014,0.23306

