Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.10973,0.03696,0.01239
100,0.10973,1.0,0.06016,0.02557
200,0.03696,0.06016,1.0,0.13704
400,0.01239,0.02557,0.13704,1.0

RW,050,100,200,400
050,0.60413,0.18711,0.09703,0.04994
100,0.2344,0.53984,0.15961,0.08756
200,0.15896,0.21251,0.48185,0.16561
400,0.09833,0.15225,0.22794,0.43111

R1,050,100,200,400
050,1.0,0.46366,0.2824,0.16868
100,0.46366,1.0,0.46359,0.30334
200,0.2824,0.46359,1.0,0.52458
400,0.16868,0.30334,0.52458,1.0

R2,050,100,200,400
050,1.0,0.23536,0.11753,0.05797
100,0.23536,1.0,0.20096,0.11991
200,0.11753,0.20096,1.0,0.27575
400,0.05797,0.11991,0.27575,1.0

R3,050,100,200,400
050,1.0,0.14982,0.06106,0.02468
100,0.14982,1.0,0.10298,0.0515
200,0.06106,0.10298,1.0,0.18278
400,0.02468,0.0515,0.18278,1.0

RL,050,100,200,400
050,1.0,0.42475,0.26519,0.15645
100,0.4088,1.0,0.42702,0.28215
200,0.25748,0.42404,1.0,0.50166
400,0.15399,0.28099,0.49548,1.0

RSU,050,100,200,400
050,1.0,0.18508,0.05649,0.01717
100,0.18508,1.0,0.18019,0.06536
200,0.05649,0.18019,1.0,0.24456
400,0.01717,0.06536,0.24456,1.0

RS,050,100,200,400
050,1.0,0.17874,0.05396,0.01636
100,0.17874,1.0,0.17693,0.06399
200,0.05396,0.17693,1.0,0.24291
400,0.01636,0.06399,0.24291,1.0

