Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.04217,0.01864,0.00851
100,0.04217,1.0,0.15977,0.0497
200,0.01864,0.15977,1.0,0.11586
400,0.00851,0.0497,0.11586,1.0

RW,050,100,200,400
050,0.59597,0.18105,0.09643,0.05417
100,0.2325,0.52405,0.19782,0.11341
200,0.16241,0.24834,0.47552,0.18313
400,0.10334,0.18263,0.25249,0.42747

R1,050,100,200,400
050,1.0,0.42277,0.27689,0.16722
100,0.42277,1.0,0.52745,0.35287
200,0.27689,0.52745,1.0,0.56199
400,0.16722,0.35287,0.56199,1.0

R2,050,100,200,400
050,1.0,0.1711,0.09361,0.0531
100,0.1711,1.0,0.29467,0.15825
200,0.09361,0.29467,1.0,0.29303
400,0.0531,0.15825,0.29303,1.0

R3,050,100,200,400
050,1.0,0.07656,0.03521,0.01597
100,0.07656,1.0,0.20396,0.08105
200,0.03521,0.20396,1.0,0.17588
400,0.01597,0.08105,0.17588,1.0

RL,050,100,200,400
050,1.0,0.40605,0.25426,0.15974
100,0.40145,1.0,0.50844,0.34406
200,0.26194,0.50175,1.0,0.54073
400,0.15875,0.34318,0.53972,1.0

RSU,050,100,200,400
050,1.0,0.15003,0.05319,0.01694
100,0.15003,1.0,0.24984,0.10608
200,0.05319,0.24984,1.0,0.28054
400,0.01694,0.10608,0.28054,1.0

RS,050,100,200,400
050,1.0,0.14372,0.05064,0.0161
100,0.14372,1.0,0.24668,0.10462
200,0.05064,0.24668,1.0,0.27883
400,0.0161,0.10462,0.27883,1.0

