Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.0923,0.02774,0.01044
100,0.18593,1.0,0.11212,0.0251
200,0.1125,0.22583,1.0,0.11063
400,0.08691,0.10209,0.22317,1.0

RW,050,100,200,400
050,0.48012,0.13975,0.06623,0.03234
100,0.31495,0.42414,0.13026,0.05929
200,0.32349,0.29493,0.37728,0.12384
400,0.32914,0.28533,0.28397,0.33596

R1,050,100,200,400
050,1.0,0.37473,0.19232,0.09892
100,0.7449,1.0,0.40326,0.1993
200,0.76553,0.80608,1.0,0.4297
400,0.78989,0.7987,0.86035,1.0

R2,050,100,200,400
050,1.0,0.20009,0.08708,0.04436
100,0.39823,1.0,0.23048,0.09541
200,0.34785,0.46137,1.0,0.25199
400,0.35745,0.38403,0.50546,1.0

R3,050,100,200,400
050,1.0,0.12708,0.04536,0.01975
100,0.25439,1.0,0.15692,0.04646
200,0.18276,0.31507,1.0,0.16007
400,0.16145,0.18781,0.32196,1.0

RL,050,100,200,400
050,1.0,0.36262,0.18688,0.09536
100,0.71738,1.0,0.3896,0.19219
200,0.73451,0.77189,1.0,0.42012
400,0.75652,0.76684,0.83891,1.0

RSU,050,100,200,400
050,1.0,0.14288,0.03801,0.00989
100,0.55501,1.0,0.16214,0.03976
200,0.58678,0.64157,1.0,0.18417
400,0.61623,0.63263,0.7358,1.0

RS,050,100,200,400
050,1.0,0.13838,0.03651,0.00946
100,0.54747,1.0,0.15979,0.03898
200,0.57967,0.63832,1.0,0.18297
400,0.6094,0.62934,0.73457,1.0

