Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.05575,0.0216,0.01031
100,0.1141,1.0,0.0389,0.02117
200,0.08979,0.07881,1.0,0.10727
400,0.08469,0.08554,0.21335,1.0

RW,050,100,200,400
050,0.4761,0.12319,0.06024,0.03047
100,0.27471,0.42348,0.11292,0.06025
200,0.28583,0.25407,0.37541,0.12215
400,0.31782,0.29103,0.27935,0.33568

R1,050,100,200,400
050,1.0,0.35994,0.18539,0.10169
100,0.71751,1.0,0.36926,0.20857
200,0.74276,0.74075,1.0,0.43428
400,0.80138,0.82307,0.85337,1.0

R2,050,100,200,400
050,1.0,0.16951,0.07587,0.03882
100,0.33825,1.0,0.15324,0.08831
200,0.3065,0.30862,1.0,0.24461
400,0.30895,0.35139,0.48268,1.0

R3,050,100,200,400
050,1.0,0.09458,0.03599,0.01847
100,0.19072,1.0,0.07318,0.04156
200,0.14719,0.14775,1.0,0.15421
400,0.14889,0.16662,0.30555,1.0

RL,050,100,200,400
050,1.0,0.32874,0.17475,0.09631
100,0.65309,1.0,0.34466,0.19874
200,0.69063,0.68557,1.0,0.41744
400,0.75476,0.77272,0.81972,1.0

RSU,050,100,200,400
050,1.0,0.11731,0.03232,0.01005
100,0.45669,1.0,0.12878,0.0418
200,0.50425,0.5153,1.0,0.18425
400,0.6089,0.64704,0.71079,1.0

RS,050,100,200,400
050,1.0,0.11268,0.03087,0.00961
100,0.44646,1.0,0.12647,0.04099
200,0.49474,0.51089,1.0,0.18303
400,0.60134,0.6436,0.70941,1.0

