Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.15013,0.04362,0.01671
100,0.30607,1.0,0.15672,0.05371
200,0.17989,0.31799,1.0,0.22859
400,0.13688,0.21649,0.45432,1.0

RW,050,100,200,400
050,0.4695,0.15793,0.07115,0.03391
100,0.32053,0.4227,0.1398,0.06422
200,0.33228,0.32653,0.37447,0.1377
400,0.34835,0.32366,0.31527,0.33379

R1,050,100,200,400
050,1.0,0.41241,0.21814,0.11119
100,0.81757,1.0,0.44597,0.22563
200,0.86407,0.89021,1.0,0.47278
400,0.86884,0.88789,0.93194,1.0

R2,050,100,200,400
050,1.0,0.26699,0.1105,0.05097
100,0.53407,1.0,0.28879,0.12592
200,0.44254,0.57926,1.0,0.3534
400,0.40267,0.49911,0.69858,1.0

R3,050,100,200,400
050,1.0,0.19772,0.06778,0.0287
100,0.39897,1.0,0.20956,0.08035
200,0.27552,0.42262,1.0,0.28187
400,0.2307,0.32118,0.55865,1.0

RL,050,100,200,400
050,1.0,0.38323,0.20745,0.10576
100,0.75083,1.0,0.42401,0.21395
200,0.79322,0.83709,1.0,0.45947
400,0.82362,0.82935,0.89985,1.0

RSU,050,100,200,400
050,1.0,0.17005,0.04677,0.01214
100,0.65997,1.0,0.19532,0.05013
200,0.72022,0.77418,1.0,0.21835
400,0.72668,0.77112,0.84621,1.0

RS,050,100,200,400
050,1.0,0.1655,0.04516,0.01167
100,0.65412,1.0,0.19294,0.04928
200,0.71485,0.77199,1.0,0.21711
400,0.72119,0.76885,0.8454,1.0

