Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.14491,0.05649,0.02641
100,0.14491,1.0,0.21486,0.08304
200,0.05649,0.21486,1.0,0.30518
400,0.02641,0.08304,0.30518,1.0

RW,050,100,200,400
050,0.59485,0.24417,0.12566,0.06546
100,0.3147,0.53428,0.22902,0.1143
200,0.20752,0.30849,0.47537,0.2118
400,0.13534,0.19899,0.3056,0.42317

R1,050,100,200,400
050,1.0,0.56273,0.34832,0.19809
100,0.56273,1.0,0.6003,0.3554
200,0.34832,0.6003,1.0,0.61616
400,0.19809,0.3554,0.61616,1.0

R2,050,100,200,400
050,1.0,0.32436,0.17113,0.09455
100,0.32436,1.0,0.39325,0.19962
200,0.17113,0.39325,1.0,0.45576
400,0.09455,0.19962,0.45576,1.0

R3,050,100,200,400
050,1.0,0.2144,0.09524,0.04695
100,0.2144,1.0,0.2824,0.12615
200,0.09524,0.2824,1.0,0.36491
400,0.04695,0.12615,0.36491,1.0

RL,050,100,200,400
050,1.0,0.53705,0.32766,0.19098
100,0.52584,1.0,0.57996,0.3472
200,0.32162,0.56627,1.0,0.60832
400,0.19382,0.34466,0.60656,1.0

RSU,050,100,200,400
050,1.0,0.27007,0.08342,0.02328
100,0.27007,1.0,0.31354,0.08957
200,0.08342,0.31354,1.0,0.33161
400,0.02328,0.08957,0.33161,1.0

RS,050,100,200,400
050,1.0,0.26332,0.08036,0.02236
100,0.26332,1.0,0.31017,0.08808
200,0.08036,0.31017,1.0,0.32997
400,0.02236,0.08808,0.32997,1.0

