Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.21905,0.1425,0.12323
100,0.10835,1.0,0.32261,0.21238
200,0.03524,0.16109,1.0,0.46817
400,0.0148,0.05162,0.22642,1.0

RW,050,100,200,400
050,0.80094,0.53798,0.47664,0.47726
100,0.29249,0.73197,0.50017,0.4518
200,0.14906,0.29066,0.6432,0.47823
400,0.08223,0.14271,0.28092,0.57625

R1,050,100,200,400
050,1.0,0.83367,0.8484,0.87919
100,0.42503,1.0,0.89133,0.8897
200,0.21919,0.45261,1.0,0.93521
400,0.11164,0.22208,0.45954,1.0

R2,050,100,200,400
050,1.0,0.48323,0.42125,0.42519
100,0.24429,1.0,0.58628,0.50339
200,0.1074,0.2959,1.0,0.69426
400,0.0532,0.12451,0.33931,1.0

R3,050,100,200,400
050,1.0,0.32162,0.23715,0.21425
100,0.16092,1.0,0.42245,0.32042
200,0.05959,0.21212,1.0,0.55793
400,0.02637,0.07854,0.27119,1.0

RL,050,100,200,400
050,1.0,0.79676,0.7984,0.84783
100,0.39687,1.0,0.8611,0.86916
200,0.20236,0.427,1.0,0.92332
400,0.10923,0.21538,0.45237,1.0

RSU,050,100,200,400
050,1.0,0.6493,0.65872,0.72281
100,0.17084,1.0,0.76288,0.75992
200,0.04454,0.1974,1.0,0.85247
400,0.01183,0.0476,0.20596,1.0

RS,050,100,200,400
050,1.0,0.64215,0.65118,0.71687
100,0.16596,1.0,0.76038,0.75744
200,0.04283,0.1949,1.0,0.85167
400,0.01136,0.04677,0.20474,1.0

