Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.01542,0.00804,0.00134
100,0.03146,1.0,0.04901,0.01228
200,0.03419,0.10047,1.0,0.05646
400,0.01117,0.0507,0.112,1.0

RW,050,100,200,400
050,0.47504,0.10803,0.0549,0.02775
100,0.22221,0.42416,0.10881,0.05377
200,0.25548,0.2517,0.37624,0.11056
400,0.27223,0.27402,0.26148,0.33516

R1,050,100,200,400
050,1.0,0.29743,0.16825,0.09097
100,0.58354,1.0,0.35613,0.19251
200,0.66722,0.72033,1.0,0.41503
400,0.71005,0.76846,0.81623,1.0

R2,050,100,200,400
050,1.0,0.09012,0.04535,0.02245
100,0.17917,1.0,0.1571,0.06782
200,0.18434,0.31942,1.0,0.187
400,0.17896,0.27395,0.36768,1.0

R3,050,100,200,400
050,1.0,0.03944,0.01753,0.00676
100,0.07938,1.0,0.08263,0.02661
200,0.07341,0.16881,1.0,0.0954
400,0.05517,0.10861,0.18816,1.0

RL,050,100,200,400
050,1.0,0.27553,0.15597,0.08772
100,0.52196,1.0,0.34204,0.18359
200,0.61956,0.68487,1.0,0.39853
400,0.67233,0.7275,0.78372,1.0

RSU,050,100,200,400
050,1.0,0.08354,0.02677,0.00805
100,0.31837,1.0,0.12349,0.03668
200,0.41539,0.50283,1.0,0.168
400,0.48217,0.58175,0.64679,1.0

RS,050,100,200,400
050,1.0,0.07941,0.02545,0.00765
100,0.30818,1.0,0.12127,0.03592
200,0.406,0.49858,1.0,0.1668
400,0.47347,0.5781,0.64516,1.0

