Rows:CheckedSize,Columns:referencesSize,When refLen>checkedLen the values are multiplies by the relative size

R4,050,100,200,400
050,1.0,0.29199,0.256888,0.260248
100,0.145995,1.0,0.366558,0.315188
200,0.064222,0.183279,1.0,0.479688
400,0.032531,0.078797,0.239844,1.0

RW,050,100,200,400
050,0.595393,0.430478,0.464056,0.493984
100,0.27508,0.531547,0.412588,0.442072
200,0.185006,0.274765,0.475717,0.39971
400,0.118174,0.186903,0.280512,0.425142

R1,050,100,200,400
050,1.0,0.99461,1.25574,1.485984
100,0.497305,1.0,1.095002,1.374604
200,0.313935,0.547501,1.0,1.190104
400,0.185748,0.343651,0.595052,1.0

R2,050,100,200,400
050,1.0,0.560628,0.60052,0.676032
100,0.280314,1.0,0.655784,0.720696
200,0.15013,0.327892,1.0,0.791246
400,0.084504,0.180174,0.395623,1.0

R3,050,100,200,400
050,1.0,0.386746,0.363384,0.381464
100,0.193373,1.0,0.470378,0.445344
200,0.090846,0.235189,1.0,0.594122
400,0.047683,0.111336,0.297061,1.0

RL,050,100,200,400
050,1.0,0.944282,1.192108,1.425464
100,0.465968,1.0,1.049742,1.323996
200,0.293763,0.519804,1.0,1.159596
400,0.176645,0.328986,0.577995,1.0

RSU,050,100,200,400
050,1.0,0.436852,0.285876,0.169944
100,0.218426,1.0,0.532878,0.349964
200,0.071469,0.266439,1.0,0.632724
400,0.021243,0.087491,0.316362,1.0

RS,050,100,200,400
050,1.0,0.424166,0.27502,0.162944
100,0.212083,1.0,0.526432,0.344124
200,0.068755,0.263216,1.0,0.62947
400,0.020368,0.086031,0.314735,1.0

