Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.01672,0.01672,0.01672
050,0.0,0.01184,0.01354,0.01336
100,0.0,0.00756,0.00738,0.00901
200,0.0,0.00401,0.00844,0.018

RW,010,050,100,200
010,0.23752,0.32136,0.39605,0.43585
050,0.06228,0.18371,0.23568,0.27563
100,0.03576,0.12031,0.20497,0.25224
200,0.02216,0.08046,0.14043,0.21105

R1,010,050,100,200
010,0.28311,0.38831,0.46131,0.59727
050,0.07966,0.29263,0.42049,0.49985
100,0.04747,0.20554,0.36289,0.47473
200,0.02627,0.12537,0.24717,0.41287

R2,010,050,100,200
010,0.11723,0.13405,0.13869,0.19279
050,0.02104,0.06336,0.08953,0.11789
100,0.00971,0.04611,0.07193,0.10105
200,0.00477,0.03124,0.0548,0.09783

R3,010,050,100,200
010,0.01393,0.02786,0.02786,0.05207
050,0.00527,0.02305,0.02913,0.03231
100,0.00243,0.01727,0.02147,0.02573
200,0.00081,0.00956,0.01747,0.0358

RL,010,050,100,200
010,0.23752,0.35546,0.46131,0.58339
050,0.07014,0.26709,0.38546,0.46565
100,0.04012,0.18163,0.33478,0.45005
200,0.02548,0.11786,0.23462,0.3929

RSU,010,050,100,200
010,0.08786,0.16798,0.23485,0.37433
050,0.00691,0.07716,0.16536,0.24385
100,0.00234,0.03697,0.11727,0.21126
200,0.00077,0.01549,0.05796,0.16319

RS,010,050,100,200
010,0.04557,0.11695,0.1769,0.31085
050,0.00442,0.06914,0.15588,0.23405
100,0.00157,0.03374,0.11255,0.20618
200,0.00055,0.01446,0.05618,0.16084

