Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.00171,0.00082,0.00042
050,0.0,0.01236,0.00639,0.0033
100,0.0,0.01588,0.00718,0.00452
200,0.0,0.01701,0.01692,0.01847

RW,010,050,100,200
010,0.10606,0.03038,0.01806,0.00975
050,0.21713,0.11928,0.07499,0.04325
100,0.24457,0.15251,0.12729,0.07722
200,0.30172,0.20645,0.17606,0.13009

R1,010,050,100,200
010,0.19977,0.06004,0.03451,0.0223
050,0.42402,0.30935,0.219,0.13127
100,0.49547,0.4239,0.36779,0.24311
200,0.55217,0.52346,0.50596,0.42711

R2,010,050,100,200
010,0.07984,0.01831,0.00891,0.00653
050,0.11219,0.06763,0.04598,0.0306
100,0.10478,0.09547,0.07309,0.05146
200,0.10487,0.13222,0.11174,0.10077

R3,010,050,100,200
010,0.01045,0.00334,0.00162,0.00166
050,0.02897,0.0241,0.01449,0.00821
100,0.03004,0.03612,0.02171,0.01301
200,0.01969,0.04079,0.03542,0.03671

RL,010,050,100,200
010,0.16713,0.05515,0.03451,0.02189
050,0.3771,0.2833,0.2007,0.12236
100,0.4241,0.37481,0.33985,0.23054
200,0.53623,0.49261,0.48057,0.40648

RSU,010,050,100,200
010,0.04391,0.00453,0.0015,0.00059
050,0.18246,0.08595,0.04521,0.01712
100,0.24142,0.15662,0.12062,0.05585
200,0.31751,0.26608,0.241,0.17422

RS,010,050,100,200
010,0.02252,0.00269,0.00095,0.0004
050,0.13118,0.07717,0.0419,0.01601
100,0.18904,0.14589,0.11582,0.05403
200,0.26758,0.25573,0.23582,0.17174

