Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.00152,0.0008
050,0.0,0.00166,0.0075,0.004
100,0.0,0.00106,0.00576,0.00883
200,0.0,0.00395,0.00544,0.02531

RW,010,050,100,200
010,0.15125,0.0724,0.04317,0.02768
050,0.09716,0.15262,0.12203,0.08324
100,0.07238,0.15465,0.15458,0.12657
200,0.0467,0.12631,0.15973,0.17321

R1,010,050,100,200
010,0.21981,0.14948,0.1027,0.0613
050,0.13846,0.3199,0.29832,0.23086
100,0.09788,0.30454,0.36358,0.35011
200,0.05865,0.23277,0.34608,0.45209

R2,010,050,100,200
010,0.05505,0.0421,0.01859,0.01315
050,0.03007,0.07658,0.06868,0.05415
100,0.01649,0.07221,0.07962,0.08423
200,0.0109,0.05468,0.08186,0.12383

R3,010,050,100,200
010,0.0,0.00823,0.00436,0.00235
050,0.00304,0.01306,0.01928,0.01841
100,0.00152,0.01328,0.01874,0.02633
200,0.00078,0.01243,0.01902,0.04719

RL,010,050,100,200
010,0.199,0.1316,0.08678,0.05898
050,0.1227,0.28315,0.2691,0.21605
100,0.0904,0.28084,0.33521,0.33067
200,0.05554,0.21349,0.32504,0.43222

RSU,010,050,100,200
010,0.05292,0.017,0.00744,0.00251
050,0.01459,0.0914,0.07475,0.03631
100,0.00601,0.07559,0.12443,0.10256
200,0.00206,0.0374,0.10021,0.18447

RS,010,050,100,200
010,0.02444,0.01135,0.00555,0.00194
050,0.00943,0.08265,0.06953,0.0341
100,0.00415,0.07023,0.11975,0.09968
200,0.00152,0.03517,0.09732,0.18186

