Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.00085,0.00042
050,0.0,0.00173,0.00565,0.0025
100,0.0,0.00158,0.00565,0.00657
200,0.0,0.01006,0.00805,0.02508

RW,010,050,100,200
010,0.13631,0.04148,0.02317,0.01436
050,0.21603,0.12232,0.07952,0.0479
100,0.27786,0.1681,0.12306,0.08198
200,0.33237,0.21197,0.17456,0.13783

R1,010,050,100,200
010,0.24384,0.09287,0.05759,0.03253
050,0.42622,0.32058,0.22395,0.14456
100,0.53706,0.45004,0.36089,0.26189
200,0.61081,0.57254,0.51475,0.45071

R2,010,050,100,200
010,0.06338,0.02596,0.01046,0.00698
050,0.1022,0.07697,0.05155,0.03383
100,0.10315,0.10732,0.07902,0.06288
200,0.12766,0.13634,0.12194,0.12329

R3,010,050,100,200
010,0.0,0.005,0.00247,0.00126
050,0.01044,0.01324,0.01455,0.01148
100,0.01047,0.01982,0.01847,0.01961
200,0.01047,0.03134,0.02818,0.04684

RL,010,050,100,200
010,0.21876,0.08156,0.04865,0.03131
050,0.37594,0.28321,0.20183,0.13528
100,0.49611,0.41491,0.33236,0.24731
200,0.57646,0.52625,0.4834,0.43096

RSU,010,050,100,200
010,0.06764,0.0091,0.00379,0.00126
050,0.19523,0.0927,0.04701,0.01935
100,0.28607,0.1807,0.12273,0.06401
200,0.37319,0.30015,0.24383,0.1832

RS,010,050,100,200
010,0.03333,0.00605,0.00282,0.00097
050,0.14738,0.08395,0.04358,0.01814
100,0.23233,0.17028,0.1181,0.06209
200,0.32056,0.28947,0.23852,0.18059

