Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.04948,0.03423,0.03423,0.03423
050,0.0,0.01594,0.02553,0.03648
100,0.0,0.0089,0.01469,0.02197
200,0.0,0.00502,0.00874,0.01857

RW,010,050,100,200
010,0.25535,0.40405,0.46536,0.43408
050,0.05811,0.20901,0.28199,0.32792
100,0.03412,0.14709,0.21628,0.27576
200,0.01992,0.09004,0.14855,0.23023

R1,010,050,100,200
010,0.29648,0.54266,0.623,0.62829
050,0.07333,0.33729,0.47312,0.59967
100,0.0425,0.23375,0.37815,0.53223
200,0.02483,0.1415,0.2551,0.44362

R2,010,050,100,200
010,0.14203,0.21696,0.23368,0.18578
050,0.01484,0.09653,0.13611,0.17079
100,0.00806,0.06208,0.09877,0.13593
200,0.00494,0.04132,0.07632,0.12544

R3,010,050,100,200
010,0.07712,0.09164,0.08953,0.05896
050,0.0018,0.0374,0.05663,0.0738
100,0.00083,0.02025,0.0381,0.04932
200,0.00043,0.01405,0.02477,0.04347

RL,010,050,100,200
010,0.28128,0.48955,0.58111,0.5798
050,0.06665,0.30373,0.432,0.562
100,0.03848,0.21237,0.34702,0.50253
200,0.02279,0.13419,0.24253,0.42377

RSU,010,050,100,200
010,0.13952,0.30765,0.41153,0.37276
050,0.00776,0.1072,0.21214,0.34468
100,0.00239,0.05182,0.13369,0.27367
200,0.0008,0.01978,0.06249,0.18772

RS,010,050,100,200
010,0.11127,0.26363,0.37394,0.32211
050,0.00532,0.09862,0.20223,0.3349
100,0.00164,0.04832,0.12896,0.26867
200,0.00058,0.0186,0.06061,0.18523

