Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.04488,0.00528,0.0026,0.00127
050,0.0,0.01508,0.01251,0.00895
100,0.0,0.01879,0.01483,0.01107
200,0.0,0.02004,0.01738,0.01837

RW,010,050,100,200
010,0.19068,0.0476,0.02792,0.01341
050,0.21226,0.12524,0.0856,0.05161
100,0.24917,0.17457,0.1282,0.08483
200,0.28441,0.21019,0.17341,0.13949

R1,010,050,100,200
010,0.32155,0.10722,0.06216,0.0319
050,0.3814,0.33934,0.24061,0.1553
100,0.44907,0.4639,0.37641,0.26994
200,0.52148,0.55173,0.49945,0.44288

R2,010,050,100,200
010,0.14299,0.03896,0.02118,0.00857
050,0.08866,0.09542,0.06807,0.04314
100,0.09564,0.12494,0.09928,0.06903
200,0.11469,0.16281,0.15072,0.1254

R3,010,050,100,200
010,0.06648,0.01506,0.00746,0.00249
050,0.00828,0.03597,0.02777,0.01832
100,0.00828,0.04112,0.03813,0.02488
200,0.00828,0.0556,0.04887,0.04326

RL,010,050,100,200
010,0.29925,0.09618,0.05808,0.02946
050,0.35087,0.3056,0.2197,0.14544
100,0.41028,0.4211,0.34548,0.25481
200,0.47565,0.52308,0.4745,0.42293

RSU,010,050,100,200
010,0.142,0.01251,0.00436,0.00104
050,0.17624,0.10802,0.05615,0.0236
100,0.23058,0.20437,0.13321,0.07134
200,0.30916,0.29551,0.23906,0.18782

RS,010,050,100,200
010,0.10105,0.00926,0.00338,0.00076
050,0.12772,0.09933,0.05266,0.02232
100,0.1756,0.19433,0.12853,0.06941
200,0.25529,0.28553,0.23406,0.18534

