Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.01529,0.0,0.0,0.0
050,0.0,0.00563,0.00274,0.00322
100,0.0,0.01727,0.01378,0.00634
200,0.0,0.0102,0.01352,0.00908

RW,010,050,100,200
010,0.16346,0.03494,0.02122,0.01317
050,0.22898,0.10916,0.07912,0.04568
100,0.24805,0.15543,0.12059,0.07699
200,0.32291,0.18917,0.16762,0.12529

R1,010,050,100,200
010,0.28346,0.07939,0.04659,0.03093
050,0.42853,0.29518,0.22041,0.14037
100,0.52038,0.43713,0.3554,0.25659
200,0.6152,0.53512,0.50699,0.41956

R2,010,050,100,200
010,0.12616,0.01746,0.00904,0.005
050,0.14515,0.07364,0.05608,0.03942
100,0.12487,0.1031,0.08856,0.0653
200,0.10393,0.11497,0.12241,0.09701

R3,010,050,100,200
010,0.05062,0.0038,0.00185,0.00092
050,0.04053,0.02516,0.01164,0.00953
100,0.02923,0.03997,0.02804,0.01899
200,0.01734,0.02931,0.03301,0.02671

RL,010,050,100,200
010,0.2662,0.07244,0.04491,0.02958
050,0.39238,0.26821,0.20512,0.1356
100,0.43567,0.395,0.32973,0.24328
200,0.56305,0.48907,0.47112,0.39738

RSU,010,050,100,200
010,0.13632,0.00854,0.00281,0.00106
050,0.22536,0.08581,0.04664,0.01929
100,0.29901,0.17737,0.12207,0.06285
200,0.36349,0.26429,0.24102,0.16706

RS,010,050,100,200
010,0.10945,0.00599,0.00203,0.00079
050,0.18837,0.07811,0.04328,0.01811
100,0.25772,0.16754,0.11756,0.06095
200,0.30936,0.25411,0.2359,0.16458

