Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.01439,0.0036,0.0,0.0
050,0.0,0.00415,0.00275,0.00704
100,0.0,0.00269,0.00819,0.01442
200,0.0,0.00487,0.00743,0.01622

RW,010,050,100,200
010,0.17634,0.07203,0.04494,0.02468
050,0.11683,0.18503,0.13365,0.08302
100,0.07447,0.16795,0.16023,0.12429
200,0.04707,0.13483,0.1606,0.16345

R1,010,050,100,200
010,0.28672,0.15453,0.09985,0.05767
050,0.16147,0.38376,0.32787,0.23148
100,0.09919,0.32744,0.36954,0.34587
200,0.05919,0.24301,0.35045,0.42707

R2,010,050,100,200
010,0.09627,0.03331,0.02167,0.01201
050,0.04391,0.10302,0.08209,0.06987
100,0.02,0.07673,0.07649,0.09096
200,0.01515,0.06273,0.08618,0.11399

R3,010,050,100,200
010,0.02518,0.00695,0.0018,0.00187
050,0.01411,0.02209,0.01877,0.01949
100,0.00558,0.016,0.01807,0.02808
200,0.00384,0.0208,0.02407,0.04022

RL,010,050,100,200
010,0.24268,0.13533,0.08892,0.05401
050,0.14566,0.34699,0.3043,0.2161
100,0.09034,0.30024,0.34427,0.32007
200,0.05541,0.22567,0.32488,0.40079

RSU,010,050,100,200
010,0.08999,0.01566,0.00604,0.00194
050,0.02046,0.12581,0.08488,0.03556
100,0.00675,0.08447,0.12164,0.09949
200,0.00217,0.03909,0.10121,0.16491

RS,010,050,100,200
010,0.05688,0.01005,0.00421,0.00143
050,0.01433,0.11593,0.07921,0.03337
100,0.00481,0.07872,0.11679,0.09666
200,0.00159,0.03675,0.09826,0.16235

