Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.01439,0.00206,0.0,0.0
050,0.0,0.00409,0.00203,0.00434
100,0.0,0.00402,0.00826,0.01068
200,0.0,0.01215,0.01141,0.01603

RW,010,050,100,200
010,0.14514,0.04054,0.02383,0.01271
050,0.24114,0.14953,0.08701,0.04767
100,0.26178,0.18717,0.1286,0.08055
200,0.30369,0.23231,0.17662,0.12981

R1,010,050,100,200
010,0.28201,0.09248,0.05493,0.03025
050,0.46728,0.37999,0.24591,0.14413
100,0.51709,0.48324,0.36945,0.25769
200,0.58147,0.59331,0.5229,0.42132

R2,010,050,100,200
010,0.09619,0.01972,0.01183,0.00627
050,0.14222,0.10199,0.06135,0.04337
100,0.11469,0.11378,0.07628,0.06764
200,0.16361,0.15499,0.12935,0.11257

R3,010,050,100,200
010,0.02518,0.00403,0.00097,0.00097
050,0.05041,0.0219,0.01397,0.01206
100,0.03671,0.02372,0.01801,0.02083
200,0.04927,0.05165,0.03644,0.03975

RL,010,050,100,200
010,0.24126,0.08101,0.0489,0.02832
050,0.4226,0.34382,0.2282,0.13456
100,0.46936,0.44283,0.34428,0.23848
200,0.54125,0.55076,0.48458,0.39544

RSU,010,050,100,200
010,0.09033,0.00816,0.00306,0.00097
050,0.23112,0.12378,0.0532,0.01886
100,0.27723,0.20156,0.12176,0.06177
200,0.34522,0.31106,0.24903,0.16067

RS,010,050,100,200
010,0.05763,0.00521,0.00213,0.00072
050,0.18305,0.11406,0.04946,0.01767
100,0.22646,0.19054,0.11691,0.0599
200,0.2916,0.30025,0.24363,0.15815

