Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.03586,0.0,0.0092,0.02113
050,0.00162,0.00164,0.00309,0.00627
100,0.0,0.00231,0.00616,0.01467
200,0.0,0.00313,0.00947,0.0145

RW,010,050,100,200
010,0.18811,0.32769,0.33277,0.40075
050,0.06238,0.177,0.26192,0.32551
100,0.03755,0.13191,0.20014,0.26391
200,0.02117,0.08748,0.14242,0.21426

R1,010,050,100,200
010,0.25235,0.44274,0.53189,0.59498
050,0.08048,0.27792,0.44051,0.56819
100,0.04631,0.20459,0.34322,0.50266
200,0.02645,0.136,0.24878,0.41351

R2,010,050,100,200
010,0.06312,0.07535,0.08886,0.10924
050,0.01691,0.06118,0.10687,0.13582
100,0.01055,0.04431,0.07389,0.12221
200,0.00587,0.03596,0.06418,0.09875

R3,010,050,100,200
010,0.04183,0.00828,0.02489,0.04577
050,0.00631,0.01564,0.02959,0.03886
100,0.00227,0.01288,0.02281,0.03733
200,0.00079,0.0106,0.02121,0.03529

RL,010,050,100,200
010,0.20451,0.3958,0.44553,0.54798
050,0.07165,0.24665,0.40063,0.5342
100,0.04335,0.18975,0.31789,0.47664
200,0.02412,0.12745,0.23203,0.39293

RSU,010,050,100,200
010,0.09216,0.20247,0.29646,0.36347
050,0.00776,0.07254,0.18498,0.2989
100,0.00243,0.03922,0.11385,0.23293
200,0.00079,0.01744,0.06033,0.15802

RS,010,050,100,200
010,0.06339,0.15544,0.25039,0.317
050,0.00538,0.06536,0.17585,0.28923
100,0.00172,0.0363,0.10973,0.22804
200,0.00057,0.01634,0.05857,0.15562

