Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.00577,0.00504,0.00652,0.00392
100,0.00309,0.00777,0.00654,0.01146
200,0.00159,0.00718,0.01153,0.01933

RW,010,050,100,200
010,0.19264,0.08064,0.04262,0.02496
050,0.11453,0.15069,0.12042,0.08078
100,0.08628,0.16263,0.16349,0.13124
200,0.04759,0.13361,0.16701,0.17319

R1,010,050,100,200
010,0.27969,0.15941,0.09413,0.05676
050,0.14654,0.31497,0.28755,0.22006
100,0.1083,0.31443,0.39756,0.36293
200,0.05907,0.2357,0.36164,0.45402

R2,010,050,100,200
010,0.09813,0.03903,0.01773,0.0116
050,0.04074,0.07471,0.06958,0.05389
100,0.02835,0.07566,0.09792,0.09897
200,0.01486,0.06254,0.09574,0.12288

R3,010,050,100,200
010,0.02163,0.00623,0.003,0.00156
050,0.01115,0.01801,0.02046,0.01241
100,0.00606,0.02397,0.02767,0.02881
200,0.00315,0.01963,0.03228,0.04141

RL,010,050,100,200
010,0.25528,0.14891,0.08841,0.05444
050,0.13833,0.29189,0.27257,0.20974
100,0.10242,0.28759,0.36234,0.34515
200,0.056,0.22528,0.34053,0.43083

RSU,010,050,100,200
010,0.08562,0.01901,0.00583,0.00191
050,0.01532,0.08906,0.06864,0.03336
100,0.00621,0.08211,0.13884,0.10913
200,0.00191,0.03985,0.10907,0.1839

RS,010,050,100,200
010,0.05143,0.01314,0.00412,0.0014
050,0.0101,0.08027,0.06365,0.03124
100,0.00432,0.07672,0.1339,0.1062
200,0.00139,0.03759,0.1061,0.18127

