Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.01026,0.00841
100,0.0,0.00505,0.00579,0.01911
200,0.0,0.00289,0.00664,0.01364

RW,010,050,100,200
010,0.19859,0.28915,0.3721,0.40957
050,0.06579,0.19079,0.26586,0.29847
100,0.04573,0.14106,0.21515,0.26824
200,0.02397,0.08914,0.15226,0.22051

R1,010,050,100,200
010,0.27653,0.41765,0.53625,0.61238
050,0.0887,0.29158,0.44281,0.54257
100,0.05433,0.22679,0.37596,0.52824
200,0.03098,0.14377,0.268,0.44141

R2,010,050,100,200
010,0.06481,0.06694,0.08565,0.11952
050,0.00991,0.05607,0.08857,0.11965
100,0.01066,0.05072,0.07271,0.13083
200,0.00449,0.03598,0.05737,0.1056

R3,010,050,100,200
010,0.0103,0.02225,0.01195,0.01195
050,0.0,0.00508,0.0235,0.02475
100,0.0008,0.01245,0.0173,0.04046
200,0.0,0.00862,0.01484,0.03248

RL,010,050,100,200
010,0.21126,0.34996,0.48621,0.55295
050,0.07581,0.26912,0.4154,0.51852
100,0.05192,0.2065,0.34832,0.49239
200,0.02769,0.13321,0.24971,0.42107

RSU,010,050,100,200
010,0.0764,0.1584,0.25473,0.34357
050,0.00699,0.07406,0.16857,0.26603
100,0.00328,0.04676,0.12604,0.25286
200,0.00095,0.01887,0.06561,0.17434

RS,010,050,100,200
010,0.04395,0.10364,0.1976,0.28535
050,0.00421,0.06569,0.15776,0.25519
100,0.00242,0.0433,0.12119,0.24754
200,0.00068,0.01766,0.06365,0.17173

