Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.04732,0.04732,0.10714
050,0.00539,1.0,0.18371,0.13798
100,0.00248,0.09206,1.0,0.25934
200,0.0032,0.03383,0.12667,1.0

RW,010,050,100,200
010,0.99175,0.49716,0.48405,0.52688
050,0.07917,0.82825,0.41494,0.42049
100,0.03998,0.23462,0.74215,0.46318
200,0.02188,0.12966,0.26154,0.65026

R1,010,050,100,200
010,1.0,0.59159,0.64258,0.64926
050,0.09008,1.0,0.6961,0.76607
100,0.04779,0.35809,1.0,0.83621
200,0.0243,0.19475,0.41278,1.0

R2,010,050,100,200
010,1.0,0.27863,0.27311,0.30215
050,0.03742,1.0,0.39001,0.39133
100,0.01945,0.19917,1.0,0.50927
200,0.01062,0.09873,0.25047,1.0

R3,010,050,100,200
010,1.0,0.09136,0.1123,0.15417
050,0.01223,1.0,0.25899,0.22245
100,0.00739,0.1307,1.0,0.34584
200,0.00516,0.05534,0.16945,1.0

RL,010,050,100,200
010,1.0,0.57396,0.5763,0.60378
050,0.08693,1.0,0.63486,0.71725
100,0.04546,0.3278,1.0,0.8017
200,0.0239,0.18056,0.39282,1.0

RSU,010,050,100,200
010,1.0,0.35523,0.37115,0.42426
050,0.00971,1.0,0.4468,0.55969
100,0.00239,0.1196,1.0,0.66467
200,0.0007,0.03718,0.16385,1.0

RS,010,050,100,200
010,1.0,0.29456,0.30178,0.36223
050,0.00707,1.0,0.43744,0.5516
100,0.00163,0.1151,1.0,0.66139
200,0.00051,0.03571,0.16154,1.0

