Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00539,0.00248,0.0032
050,0.04732,1.0,0.09206,0.03383
100,0.04732,0.18371,1.0,0.12667
200,0.10714,0.13798,0.25934,1.0

RW,010,050,100,200
010,0.66807,0.04247,0.02028,0.0114
050,0.35199,0.46818,0.12059,0.06132
100,0.36242,0.25847,0.41852,0.13155
200,0.3917,0.28841,0.2987,0.37302

R1,010,050,100,200
010,1.0,0.09008,0.04779,0.0243
050,0.59159,1.0,0.35809,0.19475
100,0.64258,0.6961,1.0,0.41278
200,0.64926,0.76607,0.83621,1.0

R2,010,050,100,200
010,1.0,0.03742,0.01945,0.01062
050,0.27863,1.0,0.19917,0.09873
100,0.27311,0.39001,1.0,0.25047
200,0.30215,0.39133,0.50927,1.0

R3,010,050,100,200
010,1.0,0.01223,0.00739,0.00516
050,0.09136,1.0,0.1307,0.05534
100,0.1123,0.25899,1.0,0.16945
200,0.15417,0.22245,0.34584,1.0

RL,010,050,100,200
010,1.0,0.08693,0.04303,0.02272
050,0.57396,1.0,0.32637,0.18258
100,0.61133,0.63643,1.0,0.39593
200,0.64089,0.70894,0.79559,1.0

RSU,010,050,100,200
010,1.0,0.00971,0.00239,0.0007
050,0.35523,1.0,0.1196,0.03718
100,0.37115,0.4468,1.0,0.16385
200,0.42426,0.55969,0.66467,1.0

RS,010,050,100,200
010,1.0,0.00707,0.00163,0.00051
050,0.29456,1.0,0.1151,0.03571
100,0.30178,0.43744,1.0,0.16154
200,0.36223,0.5516,0.66139,1.0

