Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.01177,0.0,0.01388
050,0.00168,1.0,0.12102,0.09419
100,0.0,0.06059,1.0,0.33217
200,0.00039,0.02321,0.16263,1.0

RW,010,050,100,200
010,0.95408,0.45452,0.49245,0.52338
050,0.08936,0.76438,0.3588,0.38397
100,0.04961,0.20356,0.71094,0.46505
200,0.02797,0.11267,0.25291,0.62897

R1,010,050,100,200
010,1.0,0.61598,0.67309,0.73301
050,0.10969,1.0,0.6102,0.70253
100,0.0588,0.3048,1.0,0.79365
200,0.03222,0.17481,0.39551,1.0

R2,010,050,100,200
010,1.0,0.16285,0.18083,0.23899
050,0.02738,1.0,0.28245,0.27847
100,0.01433,0.14136,1.0,0.51552
200,0.00954,0.06898,0.25541,1.0

R3,010,050,100,200
010,1.0,0.04448,0.03418,0.07926
050,0.00657,1.0,0.17953,0.16185
100,0.0024,0.0899,1.0,0.40114
200,0.00278,0.03998,0.19759,1.0

RL,010,050,100,200
010,1.0,0.5612,0.63754,0.70706
050,0.10328,1.0,0.57918,0.66017
100,0.05722,0.28869,1.0,0.77136
200,0.03222,0.16525,0.38158,1.0

RSU,010,050,100,200
010,1.0,0.40073,0.47876,0.5318
050,0.01398,1.0,0.366,0.47057
100,0.00397,0.09327,1.0,0.6181
200,0.00114,0.02979,0.15449,1.0

RS,010,050,100,200
010,1.0,0.35387,0.43663,0.48661
050,0.01079,1.0,0.35661,0.46148
100,0.00306,0.08929,1.0,0.61475
200,0.00088,0.02843,0.15221,1.0

