Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00599,0.00095,0.00046
050,0.03443,1.0,0.07741,0.01246
100,0.01148,0.1567,1.0,0.06949
200,0.01295,0.05197,0.14297,1.0

RW,010,050,100,200
010,0.64142,0.06398,0.03318,0.01518
050,0.36999,0.48236,0.1411,0.06557
100,0.39155,0.30685,0.43062,0.12435
200,0.39885,0.33408,0.28779,0.38117

R1,010,050,100,200
010,1.0,0.13323,0.07078,0.03525
050,0.64088,1.0,0.38584,0.20144
100,0.6633,0.75538,1.0,0.38294
200,0.6714,0.80216,0.77918,1.0

R2,010,050,100,200
010,1.0,0.04133,0.02258,0.00875
050,0.21282,1.0,0.20283,0.08126
100,0.23248,0.40099,1.0,0.19717
200,0.18464,0.32818,0.40275,1.0

R3,010,050,100,200
010,1.0,0.01358,0.00661,0.00276
050,0.0749,1.0,0.11739,0.0313
100,0.0742,0.23479,1.0,0.11074
200,0.06494,0.12873,0.22708,1.0

RL,010,050,100,200
010,1.0,0.126,0.06893,0.03389
050,0.59547,1.0,0.36521,0.19028
100,0.63821,0.71379,1.0,0.36323
200,0.63785,0.75615,0.74469,1.0

RSU,010,050,100,200
010,1.0,0.01902,0.00534,0.00129
050,0.41665,1.0,0.13995,0.0373
100,0.4446,0.53261,1.0,0.13656
200,0.43809,0.58282,0.56114,1.0

RS,010,050,100,200
010,1.0,0.01468,0.0041,0.00098
050,0.37015,1.0,0.13505,0.03568
100,0.40126,0.52394,1.0,0.13411
200,0.39127,0.57407,0.55671,1.0

