Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.09496,0.0517,0.02515
050,0.09496,1.0,0.35286,0.18048
100,0.0517,0.35286,1.0,0.37198
200,0.02515,0.18048,0.37198,1.0

RW,010,050,100,200
010,0.76001,0.1625,0.09053,0.04687
050,0.24058,0.59381,0.29279,0.15654
100,0.15217,0.36583,0.53163,0.25169
200,0.08468,0.23984,0.33075,0.47348

R1,010,050,100,200
010,1.0,0.29376,0.17935,0.09654
050,0.29376,1.0,0.61124,0.36953
100,0.17935,0.61124,1.0,0.60423
200,0.09654,0.36953,0.60423,1.0

R2,010,050,100,200
010,1.0,0.19457,0.10929,0.05555
050,0.19457,1.0,0.48415,0.26445
100,0.10929,0.48415,1.0,0.47998
200,0.05555,0.26445,0.47998,1.0

R3,010,050,100,200
010,1.0,0.13066,0.0734,0.035
050,0.13066,1.0,0.40715,0.21195
100,0.0734,0.40715,1.0,0.41782
200,0.035,0.21195,0.41782,1.0

RL,010,050,100,200
010,1.0,0.28598,0.16903,0.09193
050,0.28608,1.0,0.59633,0.36435
100,0.17487,0.58774,1.0,0.59772
200,0.09422,0.3605,0.59767,1.0

RSU,010,050,100,200
010,1.0,0.07054,0.02207,0.00571
050,0.07054,1.0,0.33635,0.10093
100,0.02207,0.33635,1.0,0.3298
200,0.00571,0.10093,0.3298,1.0

RS,010,050,100,200
010,1.0,0.06123,0.01894,0.00486
050,0.06123,1.0,0.33,0.09791
100,0.01894,0.33,1.0,0.32662
200,0.00486,0.09791,0.32662,1.0

