Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.05742,0.02856,0.01324
050,0.29813,1.0,0.26342,0.11212
100,0.29813,0.53626,1.0,0.27721
200,0.27577,0.46412,0.56556,1.0

RW,010,050,100,200
010,0.61649,0.09279,0.04856,0.02428
050,0.45891,0.47672,0.19066,0.09006
100,0.49313,0.40267,0.42442,0.16316
200,0.50928,0.40811,0.36393,0.37756

R1,010,050,100,200
010,1.0,0.1813,0.10047,0.05115
050,0.80307,1.0,0.46091,0.23149
100,0.87624,0.90981,1.0,0.45251
200,0.9013,0.91818,0.90959,1.0

R2,010,050,100,200
010,1.0,0.11934,0.061,0.02939
050,0.5532,1.0,0.36411,0.16525
100,0.55878,0.72462,1.0,0.35888
200,0.54123,0.66382,0.72486,1.0

R3,010,050,100,200
010,1.0,0.07958,0.04078,0.01848
050,0.38911,1.0,0.30504,0.13204
100,0.39509,0.6141,1.0,0.3119
200,0.35568,0.53869,0.63307,1.0

RL,010,050,100,200
010,1.0,0.1765,0.09479,0.04872
050,0.78425,1.0,0.44957,0.22823
100,0.8504,0.87545,1.0,0.44761
200,0.87628,0.8962,0.89965,1.0

RSU,010,050,100,200
010,1.0,0.03763,0.01124,0.00287
050,0.66366,1.0,0.21264,0.05378
100,0.75124,0.81608,1.0,0.20607
200,0.78576,0.82931,0.82785,1.0

RS,010,050,100,200
010,1.0,0.03251,0.00963,0.00244
050,0.63721,1.0,0.20787,0.05208
100,0.72722,0.81243,1.0,0.20369
200,0.76555,0.8259,0.82624,1.0

