Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0,0.0,0.00085
050,0.0,1.0,0.04351,0.02034
100,0.0,0.04351,1.0,0.07637
200,0.00085,0.02034,0.07637,1.0

RW,010,050,100,200
010,0.76574,0.10392,0.05172,0.03065
050,0.16494,0.59508,0.16909,0.09604
100,0.0948,0.21687,0.52945,0.18317
200,0.05679,0.16211,0.24271,0.47092

R1,010,050,100,200
010,1.0,0.22612,0.12073,0.06871
050,0.22612,1.0,0.42132,0.27054
100,0.12073,0.42132,1.0,0.49002
200,0.06871,0.27054,0.49002,1.0

R2,010,050,100,200
010,1.0,0.05564,0.0242,0.01274
050,0.05564,1.0,0.16313,0.10121
100,0.0242,0.16313,1.0,0.21738
200,0.01274,0.10121,0.21738,1.0

R3,010,050,100,200
010,1.0,0.00956,0.00485,0.00424
050,0.00956,1.0,0.07586,0.04337
100,0.00485,0.07586,1.0,0.11913
200,0.00424,0.04337,0.11913,1.0

RL,010,050,100,200
010,1.0,0.20807,0.11101,0.06703
050,0.20534,1.0,0.38681,0.25194
100,0.11257,0.38217,1.0,0.46877
200,0.06694,0.25981,0.46995,1.0

RSU,010,050,100,200
010,1.0,0.0379,0.00931,0.00275
050,0.0379,1.0,0.14814,0.05235
100,0.00931,0.14814,1.0,0.20733
200,0.00275,0.05235,0.20733,1.0

RS,010,050,100,200
010,1.0,0.02957,0.00713,0.00211
050,0.02957,1.0,0.14184,0.04988
100,0.00713,0.14184,1.0,0.20401
200,0.00211,0.04988,0.20401,1.0

