Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.01445,0.01125,0.00287
050,0.01445,1.0,0.18529,0.0727
100,0.01125,0.18529,1.0,0.2389
200,0.00287,0.0727,0.2389,1.0

RW,010,050,100,200
010,0.77193,0.10866,0.06523,0.03101
050,0.15851,0.59688,0.23975,0.12192
100,0.11412,0.32273,0.53135,0.23128
200,0.06264,0.20883,0.31869,0.47515

R1,010,050,100,200
010,1.0,0.2216,0.13737,0.07631
050,0.2216,1.0,0.57101,0.35387
100,0.13737,0.57101,1.0,0.60801
200,0.07631,0.35387,0.60801,1.0

R2,010,050,100,200
010,1.0,0.07699,0.04708,0.02459
050,0.07699,1.0,0.36327,0.19653
100,0.04708,0.36327,1.0,0.4143
200,0.02459,0.19653,0.4143,1.0

R3,010,050,100,200
010,1.0,0.03478,0.02024,0.00951
050,0.03478,1.0,0.25935,0.11619
100,0.02024,0.25935,1.0,0.30994
200,0.00951,0.11619,0.30994,1.0

RL,010,050,100,200
010,1.0,0.21171,0.13387,0.07253
050,0.19522,1.0,0.53724,0.32948
100,0.13388,0.53592,1.0,0.58716
200,0.07255,0.32474,0.58256,1.0

RSU,010,050,100,200
010,1.0,0.03443,0.01067,0.00331
050,0.03443,1.0,0.28613,0.08979
100,0.01067,0.28613,1.0,0.32687
200,0.00331,0.08979,0.32687,1.0

RS,010,050,100,200
010,1.0,0.0268,0.00817,0.0026
050,0.0268,1.0,0.27953,0.08678
100,0.00817,0.27953,1.0,0.32358
200,0.0026,0.08678,0.32358,1.0

