Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.05522,0.08209,0.04264
050,0.00832,1.0,0.28137,0.18529
100,0.00604,0.13817,1.0,0.35969
200,0.00148,0.04524,0.17888,1.0

RW,010,050,100,200
010,1.0,0.51333,0.57572,0.53319
050,0.10432,0.80023,0.51872,0.46573
100,0.06615,0.29714,0.71023,0.5027
200,0.03383,0.14875,0.29385,0.639

R1,010,050,100,200
010,1.0,0.66989,0.75694,0.79352
050,0.13281,1.0,0.85431,0.87601
100,0.07555,0.42896,1.0,0.90677
200,0.04008,0.22178,0.45741,1.0

R2,010,050,100,200
010,1.0,0.25003,0.28239,0.28323
050,0.04553,1.0,0.54602,0.49181
100,0.02568,0.27225,1.0,0.61987
200,0.01285,0.12283,0.31119,1.0

R3,010,050,100,200
010,1.0,0.12212,0.13325,0.12329
050,0.02028,1.0,0.39189,0.29362
100,0.01095,0.19386,1.0,0.46519
200,0.00495,0.07245,0.23243,1.0

RL,010,050,100,200
010,1.0,0.6399,0.73701,0.75428
050,0.11702,1.0,0.80373,0.81514
100,0.07364,0.40259,1.0,0.87556
200,0.0381,0.20355,0.4383,1.0

RSU,010,050,100,200
010,1.0,0.43312,0.50851,0.60387
050,0.01793,1.0,0.70219,0.73265
100,0.00539,0.1798,1.0,0.803
200,0.00166,0.04784,0.20529,1.0

RS,010,050,100,200
010,1.0,0.38744,0.45655,0.56217
050,0.01388,1.0,0.69626,0.72703
100,0.00412,0.17501,1.0,0.80103
200,0.0013,0.04616,0.20283,1.0

