Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.01057,0.00416,0.0
050,0.01057,1.0,0.18919,0.06644
100,0.00416,0.18919,1.0,0.27211
200,0.0,0.06644,0.27211,1.0

RW,010,050,100,200
010,0.75289,0.11522,0.06032,0.03266
050,0.18236,0.58134,0.26952,0.14292
100,0.10271,0.3543,0.52066,0.25537
200,0.06257,0.22329,0.32995,0.46787

R1,010,050,100,200
010,1.0,0.25715,0.13892,0.07935
050,0.25715,1.0,0.60961,0.37128
100,0.13892,0.60961,1.0,0.63279
200,0.07935,0.37128,0.63279,1.0

R2,010,050,100,200
010,1.0,0.08495,0.03572,0.01864
050,0.08495,1.0,0.39656,0.19001
100,0.03572,0.39656,1.0,0.43703
200,0.01864,0.19001,0.43703,1.0

R3,010,050,100,200
010,1.0,0.02882,0.01098,0.00373
050,0.02882,1.0,0.26855,0.10732
100,0.01098,0.26855,1.0,0.33835
200,0.00373,0.10732,0.33835,1.0

RL,010,050,100,200
010,1.0,0.21942,0.12415,0.07196
050,0.21918,1.0,0.59271,0.35715
100,0.11994,0.58668,1.0,0.6168
200,0.07196,0.3529,0.6142,1.0

RSU,010,050,100,200
010,1.0,0.04083,0.01101,0.00326
050,0.04083,1.0,0.32131,0.09946
100,0.01101,0.32131,1.0,0.36036
200,0.00326,0.09946,0.36036,1.0

RS,010,050,100,200
010,1.0,0.03294,0.00873,0.00258
050,0.03294,1.0,0.31518,0.09651
100,0.00873,0.31518,1.0,0.35733
200,0.00258,0.09651,0.35733,1.0

