Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.037,0.02775,0.0
050,0.00617,1.0,0.28821,0.16604
100,0.00225,0.1409,1.0,0.40016
200,0.0,0.04154,0.20617,1.0

RW,010,050,100,200
010,0.94032,0.53502,0.53844,0.54762
050,0.11822,0.75639,0.5695,0.51774
100,0.05891,0.32043,0.68392,0.52929
200,0.03369,0.15858,0.30473,0.61773

R1,010,050,100,200
010,1.0,0.7945,0.7884,0.82614
050,0.15354,1.0,0.90942,0.89358
100,0.0762,0.45874,1.0,0.92404
200,0.04168,0.23437,0.48123,1.0

R2,010,050,100,200
010,1.0,0.27544,0.21663,0.20978
050,0.05028,1.0,0.59562,0.46399
100,0.01947,0.2974,1.0,0.63925
200,0.00976,0.11948,0.33207,1.0

R3,010,050,100,200
010,1.0,0.09674,0.06865,0.04362
050,0.01695,1.0,0.40624,0.26526
100,0.00597,0.20068,1.0,0.49625
200,0.00195,0.06728,0.25672,1.0

RL,010,050,100,200
010,1.0,0.67985,0.70708,0.75076
050,0.1308,1.0,0.88423,0.85961
100,0.06576,0.44147,1.0,0.90052
200,0.0378,0.22276,0.46713,1.0

RSU,010,050,100,200
010,1.0,0.53521,0.55658,0.59731
050,0.02124,1.0,0.7861,0.76446
100,0.00556,0.20222,1.0,0.84146
200,0.00164,0.0532,0.22939,1.0

RS,010,050,100,200
010,1.0,0.49066,0.51254,0.55281
050,0.01706,1.0,0.78169,0.75989
100,0.0044,0.19768,1.0,0.83997
200,0.00129,0.05154,0.22705,1.0

