Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00617,0.00225,0.0
050,0.037,1.0,0.1409,0.04154
100,0.02775,0.28821,1.0,0.20617
200,0.0,0.16604,0.40016,1.0

RW,010,050,100,200
010,0.63051,0.06463,0.03196,0.01683
050,0.40574,0.47282,0.17666,0.08292
100,0.40577,0.39765,0.42055,0.16835
200,0.44585,0.37889,0.36009,0.37666

R1,010,050,100,200
010,1.0,0.15354,0.0762,0.04168
050,0.7945,1.0,0.45874,0.23437
100,0.7884,0.90942,1.0,0.48123
200,0.82614,0.89358,0.92404,1.0

R2,010,050,100,200
010,1.0,0.05028,0.01947,0.00976
050,0.27544,1.0,0.2974,0.11948
100,0.21663,0.59562,1.0,0.33207
200,0.20978,0.46399,0.63925,1.0

R3,010,050,100,200
010,1.0,0.01695,0.00597,0.00195
050,0.09674,1.0,0.20068,0.06728
100,0.06865,0.40624,1.0,0.25672
200,0.04362,0.26526,0.49625,1.0

RL,010,050,100,200
010,1.0,0.13094,0.06807,0.0378
050,0.67911,1.0,0.44603,0.22545
100,0.68346,0.87525,1.0,0.46912
200,0.75076,0.84947,0.89679,1.0

RSU,010,050,100,200
010,1.0,0.02124,0.00556,0.00164
050,0.53521,1.0,0.20222,0.0532
100,0.55658,0.7861,1.0,0.22939
200,0.59731,0.76446,0.84146,1.0

RS,010,050,100,200
010,1.0,0.01706,0.0044,0.00129
050,0.49066,1.0,0.19768,0.05154
100,0.51254,0.78169,1.0,0.22705
200,0.55281,0.75989,0.83997,1.0

