Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00338,0.0,0.0
050,0.02367,1.0,0.14508,0.02189
100,0.0,0.29503,1.0,0.12871
200,0.0,0.08946,0.25961,1.0

RW,010,050,100,200
010,0.63358,0.05903,0.03043,0.01423
050,0.34342,0.47767,0.15214,0.06628
100,0.37979,0.33343,0.42523,0.13611
200,0.3747,0.31397,0.29173,0.3798

R1,010,050,100,200
010,1.0,0.12881,0.06965,0.03544
050,0.64179,1.0,0.39765,0.19428
100,0.69321,0.78928,1.0,0.40122
200,0.70393,0.76683,0.79747,1.0

R2,010,050,100,200
010,1.0,0.03425,0.01627,0.00491
050,0.19189,1.0,0.24378,0.08183
100,0.18003,0.48706,1.0,0.2397
200,0.10806,0.32667,0.47856,1.0

R3,010,050,100,200
010,1.0,0.00833,0.00239,0.00083
050,0.05071,1.0,0.18084,0.03904
100,0.02828,0.36432,1.0,0.16634
200,0.01952,0.15758,0.3338,1.0

RL,010,050,100,200
010,1.0,0.11913,0.06557,0.033
050,0.60012,1.0,0.37898,0.18451
100,0.64579,0.74717,1.0,0.38811
200,0.64745,0.72955,0.76109,1.0

RSU,010,050,100,200
010,1.0,0.01649,0.00475,0.00124
050,0.38158,1.0,0.14905,0.03428
100,0.43678,0.58192,1.0,0.15411
200,0.45537,0.52665,0.60457,1.0

RS,010,050,100,200
010,1.0,0.01262,0.00355,0.00093
050,0.33293,1.0,0.14429,0.03274
100,0.38125,0.57393,1.0,0.15171
200,0.40306,0.51736,0.60083,1.0

