comparison,050,100,200,400,avgPerRouge

to050_R1,0.0,0.01,-0.07,-0.8,-0.215
to050_R2,0.0,0.0,-0.05,-0.4,-0.1125
to050_RL,0.0,-0.01,-0.11,-0.85,-0.2425
to050_RSU,0.0,-0.06,-0.17,-1.01,-0.31
avgPerLen,0.000,-0.015,-0.100,-0.765,-0.22

to100_R1,0.0,0.0,-0.02,-0.56,-0.145
to100_R2,-0.06,0.0,0.01,-0.23,-0.07
to100_RL,-0.02,0.0,-0.03,-0.57,-0.155
to100_RSU,-0.04,0.0,-0.07,-0.82,-0.2325
avgPerLen,-0.030,0.000,-0.027,-0.545,-0.150625

to200_R1,-0.09,-0.07,0.0,-0.19,-0.0875
to200_R2,-0.14,-0.08,0.0,-0.1,-0.08
to200_RL,-0.1,-0.07,0.0,-0.19,-0.09
to200_RSU,-0.13,-0.09,0.0,-0.37,-0.1475
avgPerLen,-0.115,-0.078,0.000,-0.213,-0.10125

to400_R1,-0.06,-0.11,-0.01,0.0,-0.045
to400_R2,-0.16,-0.17,0.02,0.0,-0.0775
to400_RL,-0.07,-0.11,0.0,0.0,-0.045
to400_RSU,-0.12,-0.13,-0.01,0.0,-0.065
avgPerLen,-0.102,-0.130,0.000,0.000,-0.058125

toOneShorter_R1,-999,0.01,-0.02,-0.19,-0.05
toOneShorter_R2,-999,0.0,0.01,-0.1,-0.0225
toOneShorter_RL,-999,-0.01,-0.03,-0.19,-0.0575
toOneShorter_RSU,-999,-0.06,-0.07,-0.37,-0.125
avgPerLen,0.000,-0.015,-0.027,-0.213,-0.06375

toOneLonger_R1,0.0,-0.07,-0.01,-999,-0.02
toOneLonger_R2,-0.06,-0.08,0.02,-999,-0.03
toOneLonger_RL,-0.02,-0.07,0.0,-999,-0.0225
toOneLonger_RSU,-0.04,-0.09,-0.01,-999,-0.035
avgPerLen,-0.030,-0.078,0.000,0.000,-0.026875

diffLens3_R1,-0.04,-0.06,-0.02,-0.22,-0.085
diffLens3_R2,-0.1,-0.07,0.0,-0.14,-0.0775
diffLens3_RL,-0.04,-0.07,-0.03,-0.23,-0.0925
diffLens3_RSU,-0.06,-0.07,-0.04,-0.27,-0.11
avgPerLen,-0.060,-0.068,-0.022,-0.215,-0.09125

diffLensAll_R1,-0.08,-0.07,-0.03,-0.21,-0.0975
diffLensAll_R2,-0.11,-0.08,0.01,-0.08,-0.065
diffLensAll_RL,-0.08,-0.07,-0.03,-0.2,-0.095
diffLensAll_RSU,-0.11,-0.11,-0.04,-0.26,-0.13
avgPerLen,-0.095,-0.082,-0.022,-0.188,-0.096875

