comparison,050,100,200,400,avgPerRouge

to050_R1,0.0,0.02,0.01,0.01,0.01
to050_R2,0.0,0.02,-0.02,-0.05,-0.0125
to050_RL,0.0,0.02,0.01,0.0,0.0075
to050_RSU,0.0,0.01,0.01,0.0,0.005
avgPerLen,0.000,0.018,0.003,-0.010,0.0025

to100_R1,-0.01,0.0,0.01,0.02,0.005
to100_R2,-0.04,0.0,0.02,-0.02,-0.01
to100_RL,-0.02,0.0,0.02,0.02,0.005
to100_RSU,-0.04,0.0,0.02,0.0,-0.005
avgPerLen,-0.028,0.000,0.018,0.005,-0.00125

to200_R1,-0.09,-0.06,0.0,0.01,-0.035
to200_R2,-0.14,-0.07,0.0,-0.01,-0.055
to200_RL,-0.09,-0.05,0.0,0.01,-0.0325
to200_RSU,-0.13,-0.06,0.0,0.01,-0.045
avgPerLen,-0.112,-0.060,0.000,0.005,-0.041875

to400_R1,-0.06,-0.09,-0.01,0.0,-0.04
to400_R2,-0.16,-0.15,0.01,0.0,-0.075
to400_RL,-0.06,-0.08,-0.01,0.0,-0.0375
to400_RSU,-0.13,-0.1,0.0,0.0,-0.0575
avgPerLen,-0.103,-0.105,-0.003,0.000,-0.0525

toOneShorter_R1,-999,0.02,0.01,0.01,0.01
toOneShorter_R2,-999,0.02,0.02,-0.01,0.0075
toOneShorter_RL,-999,0.02,0.02,0.01,0.0125
toOneShorter_RSU,-999,0.01,0.02,0.01,0.01
avgPerLen,0.000,0.018,0.018,0.005,0.01

toOneLonger_R1,-0.01,-0.06,-0.01,-999,-0.02
toOneLonger_R2,-0.04,-0.07,0.01,-999,-0.025
toOneLonger_RL,-0.02,-0.05,-0.01,-999,-0.02
toOneLonger_RSU,-0.04,-0.06,0.0,-999,-0.025
avgPerLen,-0.028,-0.060,-0.003,0.000,-0.0225

diffLens3_R1,-0.03,-0.04,0.01,0.01,-0.0125
diffLens3_R2,-0.08,-0.06,0.01,-0.02,-0.0375
diffLens3_RL,-0.03,-0.04,0.0,0.0,-0.0175
diffLens3_RSU,-0.05,-0.04,0.01,-0.01,-0.0225
avgPerLen,-0.047,-0.045,0.008,-0.005,-0.0225

diffLensAll_R1,-0.06,-0.05,-0.01,0.0,-0.03
diffLensAll_R2,-0.08,-0.06,0.02,0.0,-0.03
diffLensAll_RL,-0.06,-0.04,0.0,0.0,-0.025
diffLensAll_RSU,-0.09,-0.06,-0.01,-0.01,-0.0425
avgPerLen,-0.072,-0.053,0.000,-0.002,-0.031875

