comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,-0.4,-0.43,-0.76,-0.3975
to010_R2,0.0,-0.16,-0.34,-0.43,-0.2325
to010_RL,0.0,-0.36,-0.4,-0.76,-0.38
to010_RSU,0.0,-0.64,-0.34,-0.72,-0.425
avgPerLen,0.000,-0.390,-0.377,-0.667,-0.35875

to050_R1,0.29,0.0,-0.1,-0.44,-0.0625
to050_R2,0.0,0.0,-0.06,-0.14,-0.05
to050_RL,0.0,0.0,-0.12,-0.31,-0.1075
to050_RSU,0.12,0.0,-0.08,-0.43,-0.0975
avgPerLen,0.102,0.000,-0.090,-0.330,-0.079375

to100_R1,0.11,0.09,0.0,-0.19,0.0025
to100_R2,0.0,-0.03,0.0,-0.11,-0.035
to100_RL,0.0,0.1,0.0,-0.24,-0.035
to100_RSU,0.12,0.0,0.0,-0.2,-0.02
avgPerLen,0.057,0.040,0.000,-0.185,-0.021875

to200_R1,0.29,-0.03,-0.06,0.0,0.05
to200_R2,0.0,0.03,-0.01,0.0,0.005
to200_RL,0.0,-0.03,-0.06,0.0,-0.0225
to200_RSU,0.12,-0.12,-0.01,0.0,-0.0025
avgPerLen,0.102,-0.038,-0.035,0.000,0.0075

toOneShorter_R1,-999,-0.4,-0.1,-0.19,-0.1725
toOneShorter_R2,-999,-0.16,-0.06,-0.11,-0.0825
toOneShorter_RL,-999,-0.36,-0.12,-0.24,-0.18
toOneShorter_RSU,-999,-0.64,-0.08,-0.2,-0.23
avgPerLen,0.000,-0.390,-0.090,-0.185,-0.16625

toOneLonger_R1,0.29,0.09,-0.06,-999,0.08
toOneLonger_R2,0.0,-0.03,-0.01,-999,-0.01
toOneLonger_RL,0.0,0.1,-0.06,-999,0.01
toOneLonger_RSU,0.12,0.0,-0.01,-999,0.0275
avgPerLen,0.102,0.040,-0.035,0.000,0.026875

diffLens2_R1,0.11,-0.01,-0.11,-0.22,-0.0575
diffLens2_R2,0.0,-0.06,-0.04,-0.11,-0.0525
diffLens2_RL,0.0,-0.03,-0.12,-0.15,-0.075
diffLens2_RSU,0.12,-0.17,-0.02,-0.18,-0.0625
avgPerLen,0.057,-0.068,-0.072,-0.165,-0.061875

diffLensAll_R1,0.11,0.0,-0.03,-0.19,-0.0275
diffLensAll_R2,0.0,0.03,-0.01,-0.01,0.0025
diffLensAll_RL,0.0,0.0,-0.03,-0.15,-0.045
diffLensAll_RSU,0.17,-0.07,-0.01,-0.2,-0.0275
avgPerLen,0.070,-0.010,-0.020,-0.138,-0.024375

