comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,-0.07,-0.37,-0.4,-0.21
to010_R2,0.0,-0.06,-0.3,-0.34,-0.175
to010_RL,0.0,-0.03,-0.33,-0.5,-0.215
to010_RSU,0.0,-0.28,-0.21,-0.37,-0.215
avgPerLen,0.000,-0.110,-0.302,-0.403,-0.20375

to050_R1,0.0,0.0,-0.12,-0.17,-0.0725
to050_R2,-0.51,0.0,-0.04,-0.07,-0.155
to050_RL,0.0,0.0,-0.05,-0.25,-0.075
to050_RSU,0.06,0.0,-0.02,-0.08,-0.01
avgPerLen,-0.113,0.000,-0.058,-0.143,-0.078125

to100_R1,0.0,0.18,0.0,-0.04,0.035
to100_R2,-0.51,0.07,0.0,0.0,-0.11
to100_RL,0.0,0.18,0.0,-0.15,0.0075
to100_RSU,0.06,0.1,0.0,-0.03,0.0325
avgPerLen,-0.113,0.133,0.000,-0.055,-0.00875

to200_R1,0.0,0.06,-0.1,0.0,-0.01
to200_R2,-0.68,-0.1,-0.03,0.0,-0.2025
to200_RL,0.0,0.06,-0.01,0.0,0.0125
to200_RSU,0.06,0.04,-0.05,0.0,0.0125
avgPerLen,-0.155,0.015,-0.048,0.000,-0.046875

toOneShorter_R1,-999,-0.07,-0.12,-0.04,-0.0575
toOneShorter_R2,-999,-0.06,-0.04,0.0,-0.025
toOneShorter_RL,-999,-0.03,-0.05,-0.15,-0.0575
toOneShorter_RSU,-999,-0.28,-0.02,-0.03,-0.0825
avgPerLen,0.000,-0.110,-0.058,-0.055,-0.055625

toOneLonger_R1,0.0,0.18,-0.1,-999,0.02
toOneLonger_R2,-0.51,0.07,-0.03,-999,-0.1175
toOneLonger_RL,0.0,0.18,-0.01,-999,0.0425
toOneLonger_RSU,0.06,0.1,-0.05,-999,0.0275
avgPerLen,-0.113,0.133,-0.048,0.000,-0.006875

diffLens2_R1,0.0,0.08,-0.1,-0.09,-0.0275
diffLens2_R2,-0.4,0.0,-0.03,0.02,-0.1025
diffLens2_RL,0.23,0.06,-0.11,-0.17,0.0025
diffLens2_RSU,0.29,0.04,0.0,0.0,0.0825
avgPerLen,0.030,0.045,-0.060,-0.060,-0.01125

diffLensAll_R1,0.0,0.08,-0.09,-0.08,-0.0225
diffLensAll_R2,-0.51,0.01,-0.02,0.0,-0.13
diffLensAll_RL,0.0,0.12,-0.05,-0.17,-0.025
diffLensAll_RSU,0.06,0.1,-0.04,-0.08,0.01
avgPerLen,-0.113,0.078,-0.050,-0.083,-0.041875

