comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,0.05,0.1,-0.1,0.0125
to010_R2,0.0,-0.11,-0.12,-0.21,-0.11
to010_RL,0.0,0.01,0.07,-0.11,-0.0075
to010_RSU,0.0,0.06,0.03,-0.07,0.005
avgPerLen,0.000,0.002,0.020,-0.122,-0.025

to050_R1,0.4,0.0,0.09,-0.03,0.115
to050_R2,0.05,0.0,-0.07,-0.03,-0.0125
to050_RL,0.11,0.0,0.05,-0.04,0.03
to050_RSU,-0.06,0.0,0.07,0.03,0.01
avgPerLen,0.125,0.000,0.035,-0.018,0.035625

to100_R1,0.29,0.0,0.0,-0.02,0.0675
to100_R2,0.05,-0.04,0.0,-0.01,-1.38777878078e-17
to100_RL,0.0,0.0,0.0,-0.03,-0.0075
to100_RSU,0.0,0.0,0.0,0.04,0.01
avgPerLen,0.085,-0.010,0.000,-0.005,0.0175

to200_R1,0.4,-0.02,-0.02,0.0,0.09
to200_R2,0.05,0.06,0.02,0.0,0.0325
to200_RL,0.11,0.06,-0.05,0.0,0.03
to200_RSU,0.0,0.0,-0.06,0.0,-0.015
avgPerLen,0.140,0.025,-0.027,0.000,0.034375

toOneShorter_R1,-999,0.05,0.09,-0.02,0.03
toOneShorter_R2,-999,-0.11,-0.07,-0.01,-0.0475
toOneShorter_RL,-999,0.01,0.05,-0.03,0.0075
toOneShorter_RSU,-999,0.06,0.07,0.04,0.0425
avgPerLen,0.000,0.002,0.035,-0.005,0.008125

toOneLonger_R1,0.4,0.0,-0.02,-999,0.095
toOneLonger_R2,0.05,-0.04,0.02,-999,0.0075
toOneLonger_RL,0.11,0.0,-0.05,-999,0.015
toOneLonger_RSU,-0.06,0.0,-0.06,-999,-0.03
avgPerLen,0.125,-0.010,-0.027,0.000,0.021875

diffLens2_R1,0.29,0.03,-0.04,0.0,0.07
diffLens2_R2,0.05,-0.16,-0.05,0.0,-0.04
diffLens2_RL,0.0,0.01,-0.04,-0.01,-0.01
diffLens2_RSU,-0.06,0.03,-0.09,0.04,-0.02
avgPerLen,0.070,-0.023,-0.055,0.008,0.0

diffLensAll_R1,0.4,0.04,0.05,0.01,0.125
diffLensAll_R2,0.05,-0.03,-0.06,0.0,-0.01
diffLensAll_RL,0.11,0.05,-0.04,0.01,0.0325
diffLensAll_RSU,0.0,0.0,-0.05,0.03,-0.005
avgPerLen,0.140,0.015,-0.025,0.013,0.035625

