ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00424,0.0031,0.00317,0.00822,0.00379,0.00282,0.00298,0.00802,0.00399,0.00294,0.00306,0.00807
RW,0.07449,0.07326,0.07974,0.08291,0.1061,0.10506,0.11426,0.1275,0.08682,0.08591,0.09354,0.09986
R1,0.14755,0.15924,0.20075,0.23478,0.13707,0.14849,0.18554,0.23195,0.14108,0.153,0.19204,0.23177
R2,0.03687,0.0308,0.03924,0.0464,0.03458,0.0278,0.03572,0.04519,0.0354,0.02909,0.03723,0.04548
R3,0.01028,0.00779,0.00924,0.01552,0.00956,0.00692,0.00844,0.01508,0.00985,0.0073,0.00879,0.0152
RL,0.13029,0.1485,0.19008,0.22626,0.12118,0.13863,0.1756,0.22362,0.1246,0.14275,0.18181,0.22342
RSU,0.03022,0.02813,0.042,0.05434,0.0257,0.02398,0.03489,0.0518,0.02704,0.02548,0.03755,0.05156
RS,0.02093,0.02288,0.03879,0.05248,0.0173,0.01926,0.03204,0.04991,0.01844,0.02058,0.03457,0.04972


2
R4,0.00856,0.01517,0.01708,0.02146,0.00742,0.01238,0.01472,0.02498,0.00792,0.01361,0.01579,0.0227
RW,0.10701,0.10834,0.11696,0.10442,0.14173,0.14147,0.15486,0.1905,0.12112,0.12227,0.13287,0.13305
R1,0.21745,0.24626,0.30152,0.30379,0.18914,0.20956,0.25766,0.35543,0.2009,0.22564,0.27713,0.32265
R2,0.05503,0.06209,0.08376,0.09285,0.04661,0.05193,0.07105,0.10767,0.05014,0.05637,0.07669,0.09818
R3,0.01779,0.02543,0.03341,0.03897,0.01498,0.02102,0.02853,0.045,0.01618,0.02295,0.03072,0.0411
RL,0.19652,0.22701,0.28402,0.28917,0.17026,0.19308,0.24296,0.33802,0.18121,0.20796,0.26119,0.30695
RSU,0.05819,0.0614,0.08688,0.08637,0.04444,0.04478,0.06385,0.11505,0.04907,0.05109,0.07288,0.09309
RS,0.04574,0.05406,0.08254,0.08414,0.03441,0.03917,0.06049,0.11198,0.03819,0.0448,0.06911,0.09059


L
R4,0.00195,0.01071,0.01237,0.02227,0.00194,0.00933,0.01091,0.01901,0.0019,0.00994,0.01157,0.0205
RW,0.08906,0.10382,0.11104,0.12484,0.13334,0.13845,0.14834,0.1649,0.10545,0.11834,0.12674,0.14195
R1,0.17402,0.23326,0.28351,0.35979,0.17228,0.20213,0.24468,0.3056,0.17117,0.21611,0.2622,0.33027
R2,0.03635,0.05568,0.06775,0.10292,0.03687,0.04767,0.05797,0.08713,0.036,0.05125,0.06237,0.09431
R3,0.00834,0.01904,0.02465,0.04101,0.00808,0.01638,0.02131,0.03479,0.00809,0.01756,0.02282,0.03762
RL,0.16186,0.21741,0.26683,0.34451,0.15925,0.18867,0.23048,0.29266,0.15878,0.20158,0.24689,0.31627
RSU,0.03763,0.05509,0.07471,0.1145,0.03724,0.04132,0.05586,0.08258,0.03567,0.04685,0.06352,0.09572
RS,0.02675,0.04807,0.07049,0.11197,0.02603,0.03581,0.05256,0.08062,0.02502,0.04071,0.05983,0.09351


M
R4,0.0,0.00297,0.00763,0.01893,0.0,0.00255,0.00707,0.01798,0.0,0.00274,0.00732,0.01841
RW,0.07423,0.08434,0.09288,0.11027,0.10903,0.12075,0.13497,0.16399,0.08749,0.09888,0.10965,0.13166
R1,0.15454,0.18779,0.24029,0.32202,0.14897,0.1755,0.22568,0.30807,0.15018,0.18068,0.23198,0.31446
R2,0.02993,0.03525,0.0554,0.0896,0.02811,0.03288,0.05156,0.08532,0.02872,0.0339,0.05326,0.08729
R3,0.00143,0.00643,0.01735,0.03448,0.00116,0.00553,0.01612,0.03278,0.00128,0.00594,0.01667,0.03356
RL,0.13445,0.17295,0.22335,0.30581,0.12967,0.16198,0.20987,0.29246,0.13068,0.16659,0.21568,0.29858
RSU,0.03131,0.03598,0.055,0.09335,0.02943,0.03184,0.04844,0.08535,0.02907,0.03324,0.05084,0.08871
RS,0.02136,0.02998,0.05125,0.09099,0.01973,0.02644,0.04503,0.08313,0.01957,0.02764,0.0473,0.08643


N
R4,0.00718,0.01199,0.01423,0.02133,0.00503,0.00869,0.00995,0.01533,0.00589,0.01006,0.0117,0.01782
RW,0.09458,0.10531,0.11395,0.12475,0.10046,0.11635,0.1258,0.13916,0.09709,0.11019,0.11927,0.13131
R1,0.19905,0.24207,0.29776,0.36876,0.13843,0.17401,0.21244,0.26458,0.1628,0.20192,0.24742,0.30775
R2,0.04454,0.06194,0.07724,0.10347,0.03084,0.04439,0.05448,0.07412,0.03632,0.0516,0.06377,0.08627
R3,0.01359,0.02214,0.02781,0.04074,0.00941,0.01586,0.01949,0.02918,0.01108,0.01844,0.02288,0.03396
RL,0.17421,0.22233,0.27745,0.34951,0.12134,0.15972,0.19792,0.25069,0.14261,0.18539,0.23053,0.29163
RSU,0.04464,0.0586,0.08048,0.12118,0.02185,0.03057,0.04127,0.06259,0.02904,0.03984,0.05416,0.08221
RS,0.03256,0.05127,0.0761,0.11862,0.01552,0.02643,0.03881,0.0611,0.02081,0.0346,0.05101,0.08033


O
R4,0.00139,0.0036,0.00797,0.01581,0.0011,0.00285,0.00703,0.01485,0.00123,0.00318,0.00744,0.015
RW,0.08673,0.08863,0.09698,0.10621,0.1216,0.12382,0.13981,0.15909,0.10074,0.10277,0.11349,0.12472
R1,0.16723,0.19343,0.24572,0.30749,0.15271,0.17633,0.22804,0.29361,0.15874,0.18353,0.23436,0.29403
R2,0.04111,0.0433,0.05442,0.07572,0.03712,0.03789,0.04954,0.0715,0.03878,0.0402,0.05133,0.07183
R3,0.00777,0.01076,0.01656,0.02828,0.0067,0.00878,0.01464,0.02619,0.00717,0.00964,0.01546,0.02674
RL,0.15723,0.18528,0.23338,0.29291,0.14384,0.16883,0.21674,0.27967,0.14938,0.17576,0.22262,0.28006
RSU,0.03791,0.04039,0.05982,0.0901,0.03084,0.0329,0.05111,0.08051,0.03333,0.03556,0.05316,0.07945
RS,0.028,0.03435,0.05609,0.08785,0.02213,0.0276,0.04769,0.07815,0.02423,0.03,0.04969,0.07734


P
R4,0.00467,0.00763,0.01085,0.02277,0.00408,0.00635,0.00899,0.01905,0.00435,0.00692,0.00982,0.02073
RW,0.10393,0.10524,0.11604,0.12764,0.13908,0.13716,0.14953,0.16473,0.11856,0.11883,0.13042,0.14361
R1,0.21189,0.24289,0.30245,0.37261,0.18578,0.2064,0.25207,0.30911,0.19737,0.22272,0.27453,0.33755
R2,0.05161,0.06021,0.07298,0.10841,0.04537,0.05062,0.06016,0.08982,0.04817,0.05489,0.06586,0.09815
R3,0.01261,0.01734,0.02316,0.0431,0.01104,0.01463,0.01909,0.03581,0.01175,0.01584,0.0209,0.03909
RL,0.19157,0.22287,0.2824,0.35501,0.16833,0.18932,0.23549,0.29454,0.17867,0.20433,0.2564,0.32162
RSU,0.05303,0.06091,0.08776,0.12674,0.04139,0.04439,0.06125,0.08767,0.04603,0.05096,0.07171,0.10323
RS,0.0407,0.0537,0.08342,0.12421,0.03151,0.03892,0.05803,0.08578,0.03518,0.04477,0.06803,0.10107


R
R4,0.0064,0.01126,0.01407,0.01346,0.00666,0.00955,0.0126,0.01885,0.00644,0.01028,0.01322,0.01552
RW,0.09833,0.10497,0.10614,0.08482,0.14638,0.14969,0.16009,0.19951,0.11568,0.12236,0.12649,0.11677
R1,0.19352,0.24046,0.27194,0.24296,0.18932,0.22225,0.26466,0.36508,0.18822,0.22901,0.2658,0.28553
R2,0.0502,0.0641,0.0766,0.06851,0.05003,0.05776,0.07354,0.10305,0.04923,0.06026,0.07433,0.08064
R3,0.01524,0.02023,0.02578,0.02476,0.01571,0.01737,0.02354,0.03586,0.01523,0.01858,0.02444,0.02882
RL,0.17832,0.22236,0.25595,0.23166,0.17429,0.20613,0.24928,0.34817,0.17344,0.21203,0.25029,0.27228
RSU,0.04416,0.06049,0.07316,0.05755,0.04336,0.05036,0.06756,0.12319,0.04097,0.0534,0.06766,0.07338
