ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,-,0.00487,0.00495,0.00529,-,0.00259,0.00271,0.00317,-,0.00337,0.00349,0.00395
RW,-,0.09222,0.10311,0.10623,-,0.0803,0.08936,0.09887,-,0.08528,0.09522,0.1017
R1,-,0.19407,0.24153,0.28573,-,0.10974,0.13521,0.17056,-,0.13949,0.17256,0.21203
R2,-,0.04102,0.04653,0.05502,-,0.02267,0.02541,0.03233,-,0.02905,0.0327,0.04044
R3,-,0.01159,0.0117,0.01322,-,0.00632,0.0063,0.00784,-,0.00815,0.00816,0.00978
RL,-,0.17436,0.22762,0.27142,-,0.09864,0.12747,0.16217,-,0.12534,0.16265,0.20151
RSU,-,0.04412,0.05954,0.07905,-,0.01409,0.01855,0.02843,-,0.02104,0.02781,0.04075
RS,-,0.0342,0.05353,0.07551,-,0.01051,0.01637,0.02693,-,0.01583,0.02464,0.03869


2
R4,-,0.01273,0.01801,0.02185,-,0.00634,0.00922,0.01581,-,0.00843,0.01216,0.01799
RW,-,0.13128,0.13577,0.13105,-,0.10275,0.10823,0.14481,-,0.11474,0.12002,0.13536
R1,-,0.28451,0.3256,0.35423,-,0.1459,0.16844,0.25078,-,0.19207,0.22143,0.28885
R2,-,0.07014,0.08433,0.10249,-,0.03508,0.04299,0.07113,-,0.04655,0.05679,0.08255
R3,-,0.0252,0.03241,0.04032,-,0.01278,0.01646,0.02827,-,0.01687,0.02177,0.03261
RL,-,0.25853,0.30412,0.33298,-,0.13218,0.15714,0.23592,-,0.17421,0.20667,0.27161
RSU,-,0.08777,0.10137,0.11958,-,0.02349,0.0279,0.05909,-,0.03656,0.04334,0.07435
RS,-,0.07447,0.09391,0.11557,-,0.01928,0.02547,0.05661,-,0.0302,0.03968,0.07139


L
R4,-,0.00527,0.01622,0.02319,-,0.00257,0.00825,0.0117,-,0.00346,0.01092,0.01554
RW,-,0.11845,0.13023,0.15062,-,0.09485,0.10482,0.11934,-,0.10493,0.11582,0.13297
R1,-,0.2518,0.31424,0.40293,-,0.13215,0.16408,0.20529,-,0.17291,0.21518,0.27169
R2,-,0.05241,0.07424,0.10876,-,0.02629,0.0384,0.05497,-,0.03496,0.05052,0.07295
R3,-,0.01373,0.02714,0.04199,-,0.00678,0.01382,0.02118,-,0.00907,0.01829,0.02813
RL,-,0.23091,0.29353,0.3823,-,0.12107,0.15331,0.19482,-,0.15847,0.20103,0.25781
RSU,-,0.06646,0.0956,0.14829,-,0.01842,0.02678,0.03879,-,0.02865,0.04153,0.0613
RS,-,0.05414,0.08831,0.14392,-,0.01449,0.02439,0.03734,-,0.0227,0.03794,0.0591


M
R4,-,0.00183,0.00569,0.01663,-,0.00101,0.00321,0.00921,-,0.0013,0.0041,0.01184
RW,-,0.09912,0.11146,0.13478,-,0.08575,0.09836,0.12002,-,0.09152,0.10408,0.12669
R1,-,0.21069,0.26724,0.36574,-,0.11938,0.15311,0.20939,-,0.15178,0.19406,0.26578
R2,-,0.04233,0.05596,0.09344,-,0.02367,0.03166,0.05286,-,0.03027,0.04031,0.06739
R3,-,0.00691,0.01471,0.03161,-,0.00368,0.0082,0.01766,-,0.0048,0.01051,0.02262
RL,-,0.18805,0.2499,0.34505,-,0.1064,0.1433,0.19753,-,0.13534,0.18157,0.25074
RSU,-,0.05028,0.06989,0.1229,-,0.01667,0.02358,0.04059,-,0.02471,0.03487,0.06067
RS,-,0.03953,0.06332,0.11873,-,0.01276,0.02108,0.03892,-,0.01904,0.03128,0.05828


N
R4,-,0.01129,0.0143,0.02359,-,0.00481,0.00607,0.01002,-,0.00672,0.00852,0.01406
RW,-,0.12983,0.13549,0.15255,-,0.08602,0.09036,0.10209,-,0.10302,0.10808,0.12212
R1,-,0.2821,0.33093,0.41301,-,0.12213,0.14312,0.17768,-,0.16988,0.19937,0.24819
R2,-,0.06852,0.08523,0.11242,-,0.029,0.03657,0.04803,-,0.04063,0.05107,0.06724
R3,-,0.02211,0.02925,0.04379,-,0.00934,0.01236,0.01866,-,0.01309,0.01735,0.02615
RL,-,0.25434,0.30462,0.38797,-,0.11008,0.13166,0.16685,-,0.15313,0.18344,0.23308
RSU,-,0.08653,0.10174,0.15444,-,0.0165,0.01966,0.02894,-,0.0275,0.03273,0.04861
RS,-,0.07342,0.09412,0.15,-,0.01347,0.01788,0.02785,-,0.02259,0.02985,0.04684


O
R4,-,0.00291,0.00773,0.01514,-,0.00123,0.0036,0.00771,-,0.00173,0.00491,0.0102
RW,-,0.10437,0.11545,0.128,-,0.08747,0.09915,0.1158,-,0.09455,0.10564,0.11832
R1,-,0.21392,0.27277,0.34412,-,0.11734,0.15179,0.19877,-,0.1506,0.19332,0.24533
R2,-,0.04728,0.06398,0.08172,-,0.02472,0.03376,0.04555,-,0.03227,0.04381,0.0569
R3,-,0.01093,0.01778,0.02957,-,0.00525,0.00854,0.01534,-,0.00706,0.01152,0.02006
RL,-,0.2013,0.25803,0.32584,-,0.11018,0.14378,0.18837,-,0.14152,0.183,0.23234
RSU,-,0.0533,0.07704,0.11614,-,0.01575,0.02369,0.0392,-,0.02386,0.03516,0.05274
RS,-,0.04269,0.07053,0.11223,-,0.01201,0.02122,0.03738,-,0.01841,0.03166,0.05053


P
R4,-,0.00439,0.01174,0.02245,-,0.00225,0.00589,0.0111,-,0.00297,0.00783,0.01483
RW,-,0.12631,0.13154,0.15244,-,0.09925,0.10215,0.11791,-,0.11076,0.11471,0.1327
R1,-,0.2716,0.31927,0.41056,-,0.13944,0.16096,0.20413,-,0.18382,0.21365,0.27223
R2,-,0.06616,0.07475,0.11362,-,0.03325,0.03712,0.05604,-,0.04414,0.04951,0.07494
R3,-,0.01514,0.02345,0.04319,-,0.00776,0.01163,0.02129,-,0.01022,0.01551,0.02848
RL,-,0.24809,0.29661,0.3882,-,0.12758,0.14946,0.19314,-,0.1681,0.19842,0.25751
RSU,-,0.08189,0.09815,0.15739,-,0.02213,0.02569,0.03942,-,0.03459,0.04047,0.06276
RS,-,0.06925,0.09083,0.15305,-,0.01816,0.02343,0.03801,-,0.02855,0.03701,0.06062


R
R4,-,0.0075,0.01361,0.01295,-,0.00379,0.00725,0.0115,-,0.00503,0.00939,0.01205
RW,-,0.12438,0.12568,0.10917,-,0.10756,0.11482,0.15558,-,0.11417,0.11852,0.12545
R1,-,0.26228,0.30355,0.28846,-,0.1485,0.17983,0.26317,-,0.18782,0.22322,0.26887
R2,-,0.06059,0.0807,0.0779,-,0.03299,0.04704,0.07173,-,0.04236,0.05865,0.0731
R3,-,0.01679,0.02506,0.02574,-,0.00885,0.01354,0.02301,-,0.01153,0.01746,0.02394
RL,-,0.24235,0.28221,0.27393,-,0.13756,0.16683,0.24978,-,0.1738,0.20733,0.2553
RSU,-,0.07643,0.09468,0.08397,-,0.02467,0.0335,0.06867,-,0.03608,0.04705,0.06947
RS,-,0.06408,0.08775,0.08046,-,0.01987,0.03052,0.06534,-,0.02935,0.04299,0.06627


S
R4,-,0.00495,0.02011,0.02367,-,0.00285,0.01056,0.01247,-,0.00361,0.01382,0.01631
RW,-,0.1078,0.13203,0.14738,-,0.10072,0.10941,0.12082,-,0.1033,0.11906,0.13254
R1,-,0.23054,0.3231,0.39737,-,0.14151,0.17372,0.20934,-,0.17416,0.22506,0.27378
R2,-,0.04941,0.08625,0.10937,-,0.02942,0.04595,0.05724,-,0.03664,0.05971,0.07504
R3,-,0.01317,0.03293,0.04307,-,0.00752,0.01729,0.02255,-,0.00956,0.02263,0.02956
RL,-,0.20591,0.29621,0.37581,-,0.12636,0.15921,0.19809,-,0.15552,0.20628,0.25902
RSU,-,0.05819,0.09818,0.14155,-,0.02276,0.0291,0.03976,-,0.03193,0.04413,0.0618
RS,-,0.04666,0.09076,0.13717,-,0.01783,0.02651,0.03823,-,0.02515,0.04031,0.05952


T
R4,-,0.01525,0.01424,0.02362,-,0.00871,0.00801,0.01304,-,0.01101,0.01023,0.01677
RW,-,0.1384,0.139,0.14816,-,0.12005,0.11906,0.12941,-,0.12806,0.12793,0.13779
