ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00472,0.00476,0.00758,0.0,0.00468,0.00325,0.0035,0.0,0.00458,0.00381,0.00459
RW,0.10185,0.0926,0.1109,0.13403,0.12794,0.12439,0.11173,0.09204,0.11071,0.10417,0.10673,0.10058
R1,0.1573,0.18116,0.23874,0.30945,0.13801,0.16068,0.15842,0.14361,0.14374,0.16709,0.18287,0.18354
R2,0.02269,0.03977,0.05421,0.06962,0.02314,0.03631,0.03495,0.03104,0.02229,0.03725,0.04082,0.04006
R3,0.00145,0.01179,0.01239,0.01866,0.00145,0.01069,0.00885,0.0087,0.00145,0.01095,0.01015,0.01126
RL,0.14678,0.16599,0.21857,0.2864,0.12846,0.14704,0.14595,0.13311,0.13403,0.15302,0.16822,0.16998
RSU,0.04597,0.03622,0.05354,0.08398,0.03792,0.03317,0.02993,0.02557,0.03866,0.03316,0.03481,0.03353
RS,0.01384,0.02573,0.04447,0.07483,0.01356,0.02356,0.02543,0.02347,0.01283,0.02364,0.02953,0.0307


19
R4,0.00186,0.00902,0.01137,0.01534,0.00105,0.00843,0.00969,0.00747,0.00134,0.00862,0.01032,0.0091
RW,0.16984,0.12429,0.13627,0.16837,0.23383,0.15193,0.13696,0.11275,0.18955,0.13338,0.131,0.12492
R1,0.27537,0.25476,0.30245,0.39038,0.26217,0.20492,0.20074,0.17656,0.25868,0.22135,0.23177,0.22845
R2,0.0989,0.07868,0.08476,0.10869,0.09925,0.06368,0.05811,0.04934,0.09374,0.0685,0.06604,0.06346
R3,0.01474,0.02329,0.02424,0.03414,0.01155,0.02062,0.01969,0.01635,0.01267,0.02156,0.02128,0.02038
RL,0.24977,0.22776,0.27751,0.36779,0.2381,0.18356,0.18539,0.16609,0.23432,0.19822,0.21384,0.21481
RSU,0.10626,0.06256,0.07961,0.13514,0.10971,0.04945,0.04709,0.03936,0.09138,0.05165,0.05403,0.053
RS,0.05957,0.04806,0.06842,0.12532,0.05621,0.03888,0.04186,0.03701,0.0489,0.0403,0.0478,0.04977


2
R4,-,0.00721,0.00687,0.00772,-,0.0057,0.00442,0.00351,-,0.00571,0.00467,0.00418
RW,-,0.08933,0.09833,0.11489,-,0.12092,0.1032,0.08596,-,0.09962,0.09573,0.08975
R1,-,0.16334,0.20122,0.25569,-,0.14579,0.14113,0.12944,-,0.14969,0.15849,0.15976
R2,-,0.04862,0.05083,0.05829,-,0.04465,0.03495,0.02856,-,0.04449,0.03896,0.03515
R3,-,0.01721,0.01714,0.01902,-,0.01529,0.01122,0.00882,-,0.01494,0.0123,0.01073
RL,-,0.15323,0.19054,0.24203,-,0.13674,0.13368,0.12282,-,0.1403,0.14999,0.15134
RSU,-,0.03324,0.04376,0.06432,-,0.03142,0.02613,0.02281,-,0.02897,0.02807,0.02778
RS,-,0.02323,0.03578,0.05619,-,0.02263,0.02186,0.02075,-,0.02039,0.02319,0.02513


20
