ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.0,0.00128,0.00696,0.0,0.0,0.00015,0.00038,0.0,0.0,0.00026,0.00072
RW,0.11118,0.16288,0.2271,0.2785,0.15206,0.06792,0.04459,0.02789,0.12374,0.09453,0.07407,0.05051
R1,0.17631,0.26678,0.38996,0.47103,0.1671,0.07851,0.05417,0.03291,0.16584,0.12008,0.09478,0.0614
R2,0.02885,0.05753,0.10243,0.12817,0.03194,0.014,0.01232,0.0078,0.02833,0.02218,0.02188,0.01466
R3,0.00127,0.01117,0.01577,0.02823,0.00166,0.00158,0.00157,0.00146,0.00144,0.00275,0.00283,0.00276
RL,0.1619,0.24455,0.35393,0.44007,0.1553,0.07178,0.04859,0.03067,0.15323,0.1098,0.08514,0.05723
RSU,0.05273,0.09891,0.18046,0.24205,0.04893,0.0091,0.00385,0.00132,0.04485,0.01634,0.00752,0.00263
RS,0.02059,0.05316,0.12486,0.18117,0.02098,0.00408,0.00222,0.00081,0.01771,0.00741,0.00435,0.00162


19
R4,0.00421,0.00533,0.00671,0.01305,0.00399,0.00127,0.00078,0.00072,0.00408,0.00205,0.00139,0.00137
RW,0.17115,0.21727,0.27883,0.32713,0.25973,0.08124,0.0535,0.03158,0.19631,0.11637,0.08902,0.05738
R1,0.27271,0.3628,0.4684,0.54923,0.28889,0.09463,0.06307,0.03691,0.26712,0.14849,0.11065,0.06904
R2,0.09749,0.10738,0.14177,0.17381,0.11579,0.02562,0.01666,0.01044,0.09728,0.04078,0.02962,0.01965
R3,0.02542,0.02612,0.0317,0.04343,0.0223,0.00531,0.00321,0.00236,0.0218,0.00874,0.00578,0.00447
RL,0.25131,0.33552,0.43942,0.52114,0.26599,0.08718,0.05886,0.035,0.24549,0.1369,0.10332,0.06547
RSU,0.10358,0.17188,0.25314,0.33045,0.13359,0.01283,0.00507,0.00168,0.09567,0.0234,0.00992,0.00334
RS,0.05893,0.12021,0.19568,0.27307,0.07717,0.00755,0.00325,0.00113,0.05319,0.01394,0.00638,0.00226


2
R4,-,0.00837,0.00957,0.00957,-,0.00193,0.00115,0.00056,-,0.00311,0.00205,0.00105
RW,-,0.19018,0.22688,0.26608,-,0.08404,0.04804,0.02894,-,0.11476,0.07866,0.05189
R1,-,0.30865,0.38096,0.44744,-,0.09537,0.05672,0.03411,-,0.14427,0.09831,0.06319
R2,-,0.09461,0.10816,0.12082,-,0.02693,0.01452,0.00806,-,0.04145,0.02545,0.01505
R3,-,0.02883,0.03092,0.03223,-,0.007,0.00358,0.00186,-,0.01111,0.00635,0.0035
RL,-,0.28673,0.35123,0.41754,-,0.08832,0.05195,0.03181,-,0.13369,0.09012,0.05893
RSU,-,0.1291,0.183,0.23425,-,0.01318,0.00447,0.00154,-,0.02347,0.00869,0.00305
RS,-,0.08262,0.13025,0.17842,-,0.00728,0.00265,0.00096,-,0.01313,0.00518,0.00192


20
