ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00294,0.0044,-,0.0,0.00374,0.00417,-,0.0,0.00327,0.00427,-
RW,0.10718,0.07923,0.08985,-,0.12445,0.14192,0.14021,-,0.11171,0.10104,0.10904,-
R1,0.16692,0.16187,0.19928,-,0.13649,0.19074,0.20804,-,0.14603,0.17408,0.20274,-
R2,0.0225,0.03256,0.04349,-,0.01865,0.03876,0.04407,-,0.01973,0.0352,0.0436,-
R3,0.00311,0.00828,0.01076,-,0.0031,0.01016,0.01068,-,0.00303,0.00906,0.01066,-
RL,0.15386,0.14558,0.18618,-,0.12556,0.17172,0.19427,-,0.13457,0.1566,0.18937,-
RSU,0.05292,0.02943,0.03915,-,0.03613,0.04076,0.04188,-,0.03941,0.03353,0.03979,-
RS,0.01663,0.02103,0.03375,-,0.01112,0.02922,0.03596,-,0.01205,0.02399,0.03421,-


19
R4,0.00857,0.00706,0.01364,-,0.00615,0.00754,0.01355,-,0.00711,0.00724,0.01351,-
RW,0.18057,0.10996,0.11484,-,0.2491,0.17179,0.17508,-,0.20125,0.1326,0.13806,-
R1,0.29503,0.23227,0.26281,-,0.27908,0.24051,0.26648,-,0.27605,0.23387,0.26345,-
R2,0.09778,0.07035,0.07437,-,0.09828,0.07258,0.07512,-,0.09304,0.07074,0.0744,-
R3,0.01678,0.02069,0.0267,-,0.01374,0.02161,0.02693,-,0.01491,0.02099,0.02668,-
RL,0.26766,0.20691,0.24321,-,0.2564,0.21341,0.24687,-,0.25167,0.20788,0.24393,-
RSU,0.12292,0.0561,0.06537,-,0.12588,0.06153,0.06709,-,0.1063,0.05626,0.06503,-
RS,0.07244,0.04479,0.05874,-,0.0679,0.04904,0.06023,-,0.0613,0.04476,0.05837,-


2
R4,-,0.00289,0.00457,-,-,0.00358,0.00525,-,-,0.00318,0.00487,-
RW,-,0.06645,0.07627,-,-,0.12119,0.12834,-,-,0.08493,0.09531,-
R1,-,0.12563,0.16242,-,-,0.15185,0.18231,-,-,0.13625,0.17124,-
R2,-,0.03312,0.0393,-,-,0.04177,0.04402,-,-,0.03651,0.04139,-
R3,-,0.00871,0.012,-,-,0.01111,0.01352,-,-,0.00968,0.01267,-
RL,-,0.11537,0.15633,-,-,0.13955,0.17567,-,-,0.12516,0.1649,-
RSU,-,0.02064,0.02962,-,-,0.03029,0.0371,-,-,0.02379,0.03259,-
RS,-,0.01397,0.02517,-,-,0.02066,0.03158,-,-,0.01613,0.02771,-


20
R4,0.01015,0.00179,0.0055,-,0.01899,0.00308,0.00597,-,0.01314,0.00218,0.0057,-
RW,0.12477,0.07547,0.08844,-,0.34615,0.15768,0.14928,-,0.17847,0.10053,0.11056,-
R1,0.19114,0.15063,0.19874,-,0.37223,0.20536,0.22448,-,0.24489,0.17087,0.20989,-
R2,0.06217,0.03316,0.04558,-,0.13323,0.04647,0.05067,-,0.08097,0.0379,0.0478,-
