ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.01156,0.00915,0.01886,0.02093,0.01071,0.00743,0.01187,0.01011,0.0111,0.00818,0.01454,0.01353
RW,0.11235,0.12185,0.13974,0.1505,0.15697,0.14418,0.13754,0.11487,0.12986,0.13155,0.13825,0.12945
R1,0.2275,0.27826,0.34584,0.41239,0.20804,0.21337,0.21738,0.19579,0.21573,0.24078,0.26641,0.26417
R2,0.06377,0.06951,0.09626,0.11424,0.05793,0.05294,0.06001,0.05379,0.0602,0.05994,0.07379,0.07277
R3,0.02023,0.01934,0.03542,0.04013,0.01774,0.01499,0.02208,0.01901,0.01884,0.01684,0.02714,0.02564
RL,0.20697,0.25615,0.32806,0.39176,0.18942,0.19647,0.20614,0.18609,0.19635,0.22169,0.25267,0.25105
RSU,0.06119,0.07339,0.09968,0.13381,0.05215,0.04465,0.0461,0.04198,0.05478,0.05489,0.06261,0.06285
RS,0.04806,0.06447,0.0938,0.1298,0.0405,0.03877,0.04311,0.0405,0.04274,0.04786,0.05866,0.06072


