ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.02097,0.01833,0.02102,0.02468,0.02006,0.0156,0.01753,0.02214,0.0203,0.01678,0.01909,0.02322
RW,0.11555,0.12077,0.12635,0.12847,0.15998,0.15748,0.166,0.18223,0.13293,0.13603,0.14317,0.14984
R1,0.22837,0.27569,0.32229,0.37509,0.20273,0.23024,0.27256,0.34244,0.21315,0.24999,0.29481,0.35613
R2,0.07846,0.08297,0.09686,0.11016,0.07013,0.0688,0.08099,0.09955,0.07343,0.07494,0.08808,0.10401
R3,0.03449,0.03396,0.04044,0.04501,0.03129,0.02844,0.03371,0.04045,0.03252,0.03083,0.03672,0.04237
RL,0.21141,0.25547,0.30707,0.35927,0.18802,0.2136,0.25971,0.32824,0.1975,0.23179,0.28091,0.34123
RSU,0.06862,0.0793,0.09173,0.1175,0.05579,0.05424,0.06544,0.0975,0.05963,0.06355,0.07588,0.10442
RS,0.05565,0.07125,0.08697,0.11485,0.04497,0.04817,0.0618,0.09514,0.04808,0.05669,0.07178,0.10197


