ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,0.01085,0.0113,0.02102,-,0.00989,0.0097,0.01753,-,0.01033,0.0104,0.01909,-
RW,0.10972,0.11798,0.12635,-,0.1569,0.15681,0.166,-,0.12814,0.13396,0.14317,-
R1,0.22345,0.27261,0.32229,-,0.20687,0.23341,0.27256,-,0.21328,0.25031,0.29481,-
R2,0.06888,0.07547,0.09686,-,0.06384,0.0634,0.08099,-,0.06569,0.06861,0.08808,-
R3,0.02318,0.0253,0.04044,-,0.02062,0.02115,0.03371,-,0.02174,0.02293,0.03672,-
RL,0.20353,0.25202,0.30707,-,0.18929,0.2162,0.25971,-,0.19473,0.23164,0.28091,-
RSU,0.05941,0.07257,0.09173,-,0.05105,0.05229,0.06544,-,0.0535,0.05972,0.07588,-
RS,0.04663,0.0646,0.08697,-,0.0395,0.04602,0.0618,-,0.04163,0.05278,0.07178,-


