ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

0
R4,-,0.00853,0.02266,0.02805,-,0.00436,0.01155,0.01512,-,0.00576,0.01528,0.01951
RW,-,0.1417,0.15268,0.15993,-,0.11453,0.12337,0.13641,-,0.12615,0.13612,0.14623
R1,-,0.30699,0.36737,0.43138,-,0.16258,0.19256,0.23661,-,0.21178,0.25214,0.30375
R2,-,0.08084,0.10372,0.12346,-,0.04163,0.0537,0.06657,-,0.05479,0.07063,0.08598
R3,-,0.0242,0.0409,0.04965,-,0.0124,0.02093,0.02669,-,0.01634,0.02764,0.0345
RL,-,0.27871,0.34349,0.40835,-,0.14752,0.17992,0.22425,-,0.19222,0.23565,0.28776
RSU,-,0.09781,0.12487,0.16058,-,0.02774,0.03506,0.04886,-,0.04273,0.05438,0.07337
RS,-,0.08395,0.11679,0.15593,-,0.02302,0.03229,0.04705,-,0.03572,0.05025,0.07079


