ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.00185,0.01034,0.01272,0.01539,0.00132,0.00628,0.0084,0.00697,0.00154,0.00732,0.00931,0.00876
RW,0.05857,0.12573,0.14417,0.17074,0.1023,0.1578,0.14292,0.11815,0.07311,0.13622,0.13761,0.12927
R1,0.08626,0.25509,0.31678,0.40163,0.10441,0.20944,0.20782,0.18636,0.09278,0.22392,0.24132,0.23889
R2,0.02164,0.08467,0.09686,0.11933,0.02567,0.06742,0.06307,0.05515,0.02293,0.0724,0.07302,0.07053
R3,0.00309,0.02733,0.03184,0.04077,0.00232,0.02009,0.02091,0.01819,0.00265,0.02196,0.0237,0.02323
RL,0.08394,0.23067,0.29373,0.37364,0.10181,0.19093,0.1936,0.17434,0.09033,0.20352,0.22456,0.22333
RSU,0.02508,0.06432,0.08734,0.13373,0.03628,0.05257,0.05,0.0411,0.02745,0.0541,0.05826,0.05422
RS,0.00936,0.04994,0.0761,0.12342,0.01243,0.0414,0.04465,0.03856,0.0098,0.04239,0.05183,0.05078


