ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

0
R4,0.0,0.00781,0.0085,0.01363,0.0,0.0079,0.00864,0.01528,0.0,0.00783,0.00856,0.01411
RW,0.06489,0.11396,0.1222,0.12827,0.11833,0.17815,0.18578,0.19485,0.08174,0.13828,0.1471,0.15389
R1,0.09484,0.22756,0.2866,0.33109,0.12256,0.23978,0.28961,0.3363,0.1046,0.23229,0.28755,0.33216
R2,0.01598,0.06787,0.08113,0.09463,0.02381,0.0713,0.08165,0.09734,0.01873,0.06913,0.08124,0.09533
R3,0.0,0.01984,0.02368,0.03182,0.0,0.02056,0.02391,0.03387,0.0,0.02011,0.02375,0.0324
RL,0.09071,0.2117,0.26352,0.31291,0.11734,0.22278,0.26653,0.31777,0.10003,0.216,0.26451,0.31389
RSU,0.02559,0.0516,0.07456,0.09116,0.04273,0.05713,0.07593,0.09374,0.02948,0.05327,0.07471,0.09084
RS,0.00764,0.04001,0.06742,0.08701,0.01263,0.04421,0.06862,0.0894,0.00863,0.04126,0.06753,0.08666


