Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.01338,0.00877,0.00823,0.00546
100,0.00802,0.0048,0.00639,0.00489
200,0.00469,0.00795,0.00877,0.01197
400,0.00277,0.00839,0.01841,0.02149

RW,050,100,200,400
050,0.14714,0.11211,0.07651,0.05005
100,0.14512,0.13419,0.10452,0.07463
200,0.13181,0.14405,0.1385,0.11229
400,0.09403,0.13465,0.17167,0.16308

R1,050,100,200,400
050,0.27359,0.23249,0.17613,0.11959
100,0.25462,0.26694,0.24897,0.19444
200,0.2137,0.26894,0.31791,0.29343
400,0.14848,0.24144,0.35774,0.40452

R2,050,100,200,400
050,0.07838,0.05468,0.04457,0.03144
100,0.05889,0.05851,0.05997,0.04775
200,0.05132,0.06798,0.07916,0.08005
400,0.03833,0.06627,0.10479,0.12324

R3,050,100,200,400
050,0.02625,0.01614,0.01567,0.0125
100,0.02001,0.01284,0.01719,0.01479
200,0.01202,0.01735,0.02325,0.02624
400,0.00996,0.02126,0.04169,0.04628

RL,050,100,200,400
050,0.2527,0.20995,0.16556,0.11676
100,0.23599,0.24635,0.22658,0.18192
200,0.20354,0.2592,0.30182,0.28121
400,0.13827,0.2304,0.34221,0.38956

RSU,050,100,200,400
050,0.07604,0.04862,0.02364,0.00915
100,0.05669,0.06715,0.05403,0.02679
200,0.03213,0.0614,0.09098,0.0697
400,0.01336,0.04289,0.10911,0.14833

RS,050,100,200,400
050,0.06303,0.04164,0.02068,0.00809
100,0.04882,0.06066,0.05012,0.02507
200,0.02828,0.05698,0.08703,0.06732
400,0.01199,0.04076,0.1064,0.14602

