Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.01069,0.00572,0.00512,0.00412
100,0.00703,0.00404,0.00556,0.00631
200,0.00576,0.00529,0.00844,0.00875
400,0.00304,0.00324,0.00761,0.00985

RW,050,100,200,400
050,0.13906,0.09586,0.0665,0.04597
100,0.13495,0.11662,0.09513,0.07161
200,0.12079,0.13339,0.14223,0.11764
400,0.08305,0.10912,0.14438,0.15398

R1,050,100,200,400
050,0.23058,0.19666,0.14811,0.10785
100,0.21373,0.22459,0.2175,0.18344
200,0.18534,0.24782,0.31585,0.31915
400,0.12465,0.19947,0.30686,0.37955

R2,050,100,200,400
050,0.05417,0.0402,0.02904,0.02234
100,0.05745,0.05009,0.04908,0.04526
200,0.03988,0.05349,0.06991,0.07453
400,0.02864,0.04171,0.07032,0.09149

R3,050,100,200,400
050,0.02075,0.0111,0.00929,0.00734
100,0.01639,0.01002,0.0123,0.01291
200,0.01123,0.01134,0.01531,0.02053
400,0.00707,0.00864,0.01583,0.02546

RL,050,100,200,400
050,0.21299,0.17074,0.13873,0.10251
100,0.20167,0.20587,0.20901,0.17597
200,0.17841,0.2356,0.30426,0.30433
400,0.11896,0.18447,0.29028,0.36354

RSU,050,100,200,400
050,0.05651,0.03724,0.01679,0.00744
100,0.04368,0.05281,0.04332,0.02482
200,0.02493,0.05402,0.09458,0.08647
400,0.00951,0.02908,0.07943,0.13048

RS,050,100,200,400
050,0.04428,0.03061,0.01412,0.00643
100,0.0365,0.04686,0.03974,0.02314
200,0.02171,0.05,0.09076,0.08396
400,0.00837,0.02725,0.07696,0.12822

