Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.01085,0.00902,0.01365,0.02059
100,0.00528,0.00392,0.00805,0.01527
200,0.00356,0.00388,0.0083,0.01253
400,0.0017,0.00201,0.00571,0.00977

RW,050,100,200,400
050,0.18054,0.20301,0.24927,0.30716
100,0.11953,0.15118,0.19945,0.25549
200,0.08337,0.11877,0.18403,0.2366
400,0.04978,0.07668,0.13151,0.19777

R1,050,100,200,400
050,0.23761,0.30226,0.3816,0.47973
100,0.16211,0.22799,0.33213,0.45264
200,0.11637,0.18663,0.31952,0.46881
400,0.07062,0.12594,0.23479,0.38077

R2,050,100,200,400
050,0.05609,0.06251,0.07484,0.1022
100,0.04341,0.05112,0.07477,0.11178
200,0.02494,0.04036,0.07086,0.10989
400,0.01617,0.02629,0.05361,0.09165

R3,050,100,200,400
050,0.02131,0.0171,0.02344,0.03471
100,0.01238,0.00991,0.01808,0.03118
200,0.007,0.00846,0.01517,0.02978
400,0.00398,0.00542,0.01191,0.02533

RL,050,100,200,400
050,0.2198,0.26359,0.35852,0.45533
100,0.15281,0.20925,0.31911,0.43389
200,0.11203,0.17751,0.30784,0.44733
400,0.06741,0.11649,0.22208,0.36484

RSU,050,100,200,400
050,0.06048,0.09638,0.14631,0.22186
100,0.02775,0.05482,0.11069,0.19954
200,0.01332,0.03422,0.09827,0.20696
400,0.00484,0.01557,0.05113,0.1318

RS,050,100,200,400
050,0.04744,0.08108,0.12863,0.20223
100,0.023,0.04867,0.10275,0.19041
200,0.01157,0.03157,0.09437,0.20235
400,0.00426,0.01457,0.04946,0.12952

