Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0,0.0,0.00082,0.00087
100,0.00142,0.00107,0.00553,0.00551
200,0.00351,0.00067,0.00503,0.00677
400,0.00407,0.00461,0.00884,0.01041

RW,050,100,200,400
050,0.13517,0.11075,0.07942,0.04979
100,0.1354,0.13536,0.12085,0.086
200,0.14476,0.15236,0.15058,0.11763
400,0.10697,0.13249,0.15318,0.14348

R1,050,100,200,400
050,0.23035,0.21285,0.17368,0.12271
100,0.22352,0.26469,0.26664,0.2175
200,0.2287,0.29526,0.33769,0.30928
400,0.15976,0.23871,0.32283,0.36041

R2,050,100,200,400
050,0.05178,0.04353,0.03537,0.02395
100,0.04955,0.05853,0.06007,0.0505
200,0.05675,0.06859,0.07827,0.07754
400,0.03741,0.05812,0.08406,0.08956

R3,050,100,200,400
050,0.00585,0.00371,0.00391,0.00398
100,0.0075,0.00709,0.01308,0.01288
200,0.01356,0.0137,0.01813,0.02103
400,0.01098,0.01613,0.02559,0.02662

RL,050,100,200,400
050,0.21351,0.20529,0.16906,0.11977
100,0.20632,0.24662,0.25265,0.20815
200,0.2182,0.27855,0.32011,0.29404
400,0.15392,0.22323,0.30487,0.3417

RSU,050,100,200,400
050,0.05713,0.04189,0.02188,0.00923
100,0.04186,0.06408,0.06206,0.03711
200,0.03572,0.0743,0.1023,0.0747
400,0.01526,0.04005,0.0887,0.1135

RS,050,100,200,400
050,0.04559,0.03508,0.01888,0.00813
100,0.0348,0.05772,0.05807,0.03529
200,0.03146,0.06936,0.09812,0.07223
400,0.01366,0.03766,0.08593,0.11119

