Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0,0.0,0.00228,0.00407
100,0.00108,0.00108,0.00808,0.01353
200,0.00222,0.00051,0.00524,0.01073
400,0.00232,0.003,0.00707,0.01123

RW,050,100,200,400
050,0.16988,0.22519,0.2813,0.3251
100,0.12007,0.17101,0.23944,0.29225
200,0.10322,0.14176,0.20322,0.25609
400,0.06563,0.09668,0.14591,0.19902

R1,050,100,200,400
050,0.23056,0.32024,0.42747,0.53304
100,0.16954,0.26643,0.3906,0.51226
200,0.14662,0.23106,0.35423,0.48716
400,0.09193,0.15546,0.25601,0.38553

R2,050,100,200,400
050,0.05125,0.06476,0.08924,0.107
100,0.03661,0.05728,0.08617,0.11615
200,0.03617,0.05331,0.08239,0.12267
400,0.02148,0.03775,0.06688,0.09598

R3,050,100,200,400
050,0.00563,0.00526,0.00957,0.01734
100,0.00559,0.00656,0.01869,0.02966
200,0.00859,0.01055,0.01898,0.0331
400,0.00627,0.01044,0.02041,0.02864

RL,050,100,200,400
050,0.21362,0.30918,0.41655,0.52056
100,0.15627,0.24804,0.37072,0.49018
200,0.13992,0.21788,0.33598,0.46335
400,0.08856,0.14527,0.24179,0.36576

RSU,050,100,200,400
050,0.05671,0.10136,0.17331,0.26494
100,0.02704,0.06627,0.141,0.2326
200,0.01932,0.04921,0.11297,0.20752
400,0.00781,0.02193,0.05999,0.13037

RS,050,100,200,400
050,0.04499,0.08636,0.15577,0.24616
100,0.02229,0.05939,0.13244,0.22291
200,0.01696,0.04577,0.10843,0.20221
400,0.00698,0.02058,0.05801,0.1278

